m	n	S12
53	15	0.007089
54	15	0.002208
55	15	0.003960
56	15	0.006686
57	15	0.004174
58	15	0.001311
59	15	0.005429
60	15	0.005167
61	15	0.001011
62	15	0.003647
63	15	0.005252
64	15	0.002774
65	15	0.001665
66	15	0.004584
67	15	0.003854
68	15	0.000230
69	15	0.003377
70	15	0.004224
71	15	0.001807
72	15	0.001871
73	15	0.003945
74	15	0.002908
75	15	0.000306
76	15	0.003145
77	15	0.003457
78	15	0.001108
79	15	0.001997
80	15	0.003453
81	15	0.002205
82	15	0.000692
83	15	0.002960
84	15	0.002881
85	15	0.000588
86	15	0.002095
87	15	0.003095
88	15	0.001686
89	15	0.000997
90	15	0.002865
91	15	0.002494
92	15	0.000192
93	15	0.002258
94	15	0.002970
95	15	0.001373
96	15	0.001374
97	15	0.003253
98	15	0.002798
99	15	0.001536
0	16	0.031009
1	16	0.065093
2	16	0.022954
3	16	0.016841
4	16	0.039783
5	16	0.033203
6	16	0.002829
7	16	0.029468
8	16	0.040055
9	16	0.020361
10	16	0.016265
11	16	0.042920
12	16	0.038016
13	16	0.001861
14	16	0.041142
15	16	0.057633
16	16	0.028898
17	16	0.032621
18	16	0.085833
19	16	0.082474
20	16	0.005646
21	16	0.174847
22	16	0.442571
23	16	0.822236
24	16	0.163660
25	16	0.166031
26	16	0.078444
27	16	0.011482
28	16	0.057442
29	16	0.050339
30	16	0.012065
31	16	0.024016
32	16	0.034851
33	16	0.019104
34	16	0.006811
35	16	0.023007
36	16	0.019973
37	16	0.003141
38	16	0.013329
39	16	0.017733
40	16	0.008643
41	16	0.005540
42	16	0.013873
43	16	0.011016
44	16	0.000384
45	16	0.009348
46	16	0.011125
47	16	0.004473
48	16	0.004841
49	16	0.009659
50	16	0.006830
51	16	0.000846
52	16	0.007223
53	16	0.007654
54	16	0.002309
55	16	0.004347
56	16	0.007222
57	16	0.004445
58	16	0.001481
59	16	0.005871
60	16	0.005524
61	16	0.001025
62	16	0.003957
63	16	0.005626
64	16	0.002926
65	16	0.001831
66	16	0.004919
67	16	0.004092
68	16	0.000199
69	16	0.003634
70	16	0.004496
71	16	0.001888
72	16	0.002029
73	16	0.004207
74	16	0.003069
75	16	0.000361
76	16	0.003362
77	16	0.003661
78	16	0.001146
79	16	0.002146
80	16	0.003664
81	16	0.002316
82	16	0.000760
83	16	0.003148
84	16	0.003039
85	16	0.000598
86	16	0.002234
87	16	0.003271
88	16	0.001763
89	16	0.001073
90	16	0.003032
91	16	0.002621
92	16	0.000183
93	16	0.002393
94	16	0.003127
95	16	0.001432
96	16	0.001461
97	16	0.003426
98	16	0.002933
99	16	0.001616
0	17	0.029920
1	17	0.062447
2	17	0.021730
3	17	0.016344
4	17	0.037938
5	17	0.031292
6	17	0.002326
7	17	0.027960
8	17	0.037416
9	17	0.018586
10	17	0.015422
11	17	0.039463
12	17	0.034238
13	17	0.001162
14	17	0.036786
15	17	0.050044
16	17	0.024024
17	17	0.027653
18	17	0.068471
19	17	0.061362
20	17	0.005043
21	17	0.102491
22	17	0.168477
23	17	0.108715
24	17	0.805486
25	17	0.493674
26	17	0.144298
27	17	0.019458
28	17	0.082078
29	17	0.067002
30	17	0.014818
31	17	0.030418
32	17	0.042501
33	17	0.022545
34	17	0.008416
35	17	0.026992
36	17	0.022938
37	17	0.003326
38	17	0.015351
39	17	0.020031
40	17	0.009540
41	17	0.006385
42	17	0.015514
43	17	0.012132
44	17	0.000267
45	17	0.010403
46	17	0.012202
47	17	0.004787
48	17	0.005405
49	17	0.010564
50	17	0.007367
51	17	0.001023
52	17	0.007892
53	17	0.008262
54	17	0.002413
55	17	0.004766
56	17	0.007796
57	17	0.004731
58	17	0.001665
59	17	0.006341
60	17	0.005902
61	17	0.001036
62	17	0.004287
63	17	0.006019
64	17	0.003083
65	17	0.002008
66	17	0.005269
67	17	0.004338
68	17	0.000164
69	17	0.003902
70	17	0.004779
71	17	0.001971
72	17	0.002195
73	17	0.004479
74	17	0.003235
75	17	0.000420
76	17	0.003587
77	17	0.003871
78	17	0.001183
79	17	0.002299
80	17	0.003881
81	17	0.002428
82	17	0.000833
83	17	0.003340
84	17	0.003199
85	17	0.000606
86	17	0.002377
87	17	0.003450
88	17	0.001841
89	17	0.001153
90	17	0.003202
91	17	0.002749
92	17	0.000173
93	17	0.002531
94	17	0.003286
95	17	0.001491
96	17	0.001549
97	17	0.003600
98	17	0.003069
99	17	0.001697
0	18	0.028929
1	18	0.060063
2	18	0.020645
3	18	0.015888
4	18	0.036301
5	18	0.029620
6	18	0.001902
7	18	0.026649
8	18	0.035166
9	18	0.017100
10	18	0.014711
11	18	0.036633
12	18	0.031210
13	18	0.000623
14	18	0.033446
15	18	0.044419
16	18	0.020554
17	18	0.024279
18	18	0.057450
19	18	0.049153
20	18	0.004738
21	18	0.073940
22	18	0.105903
23	18	0.050793
24	18	0.126130
25	18	0.575860
26	18	0.761775
27	18	0.044292
28	18	0.136378
29	18	0.097665
30	18	0.019332
31	18	0.040174
32	18	0.053502
33	18	0.027272
34	18	0.010561
35	18	0.032149
36	18	0.026679
37	18	0.003547
38	18	0.017820
39	18	0.022788
40	18	0.010597
41	18	0.007381
42	18	0.017420
43	18	0.013410
44	18	0.000128
45	18	0.011601
46	18	0.013413
47	18	0.005134
48	18	0.006036
49	18	0.011566
50	18	0.007954
51	18	0.001221
52	18	0.008625
53	18	0.008921
54	18	0.002523
55	18	0.005221
56	18	0.008413
57	18	0.005035
58	18	0.001866
59	18	0.006844
60	18	0.006302
61	18	0.001045
62	18	0.004638
63	18	0.006434
64	18	0.003245
65	18	0.002197
66	18	0.005638
67	18	0.004595
68	18	0.000125
69	18	0.004184
70	18	0.005073
71	18	0.002054
72	18	0.002369
73	18	0.004761
74	18	0.003404
75	18	0.000484
76	18	0.003820
77	18	0.004087
78	18	0.001219
79	18	0.002459
80	18	0.004105
81	18	0.002542
82	18	0.000909
83	18	0.003538
84	18	0.003363
85	18	0.000612
86	18	0.002525
87	18	0.003633
88	18	0.001918
89	18	0.001235
90	18	0.003376
91	18	0.002879
92	18	0.000162
93	18	0.002672
94	18	0.003446
95	18	0.001549
96	18	0.001639
97	18	0.003776
98	18	0.003205
99	18	0.001779
0	19	0.028023
1	19	0.057902
2	19	0.019677
3	19	0.015468
4	19	0.034837
5	19	0.028145
6	19	0.001542
7	19	0.025498
8	19	0.033221
9	19	0.015837
10	19	0.014100
11	19	0.034267
12	19	0.028724
13	19	0.000203
14	19	0.030796
15	19	0.040071
16	19	0.017953
17	19	0.021828
18	19	0.049812
19	19	0.041177
20	19	0.004552
21	19	0.058616
22	19	0.078104
23	19	0.033012
24	19	0.071148
25	19	0.188835
26	19	0.241838
27	19	0.840775
28	19	0.356742
29	19	0.173236
30	19	0.028165
31	19	0.056913
32	19	0.070746
33	19	0.034212
34	19	0.013576
35	19	0.039107
36	19	0.031568
37	19	0.003821
38	19	0.020910
39	19	0.026170
40	19	0.011868
41	19	0.008575
42	19	0.019666
43	19	0.014897
44	19	0.000040
45	19	0.012977
46	19	0.014788
47	19	0.005521
48	19	0.006748
49	19	0.012683
50	19	0.008603
51	19	0.001444
52	19	0.009433
53	19	0.009642
54	19	0.002639
55	19	0.005718
56	19	0.009081
57	19	0.005360
58	19	0.002085
59	19	0.007384
60	19	0.006728
61	19	0.001052
62	19	0.005013
63	19	0.006874
64	19	0.003415
65	19	0.002400
66	19	0.006027
67	19	0.004863
68	19	0.000082
69	19	0.004481
70	19	0.005380
71	19	0.002139
72	19	0.002553
73	19	0.005056
74	19	0.003580
75	19	0.000552
76	19	0.004063
77	19	0.004310
78	19	0.001254
79	19	0.002626
80	19	0.004335
81	19	0.002658
82	19	0.000988
83	19	0.003742
84	19	0.003530
85	19	0.000618
86	19	0.002677
87	19	0.003820
88	19	0.001996
89	19	0.001321
90	19	0.003554
91	19	0.003011
92	19	0.000149
93	19	0.002816
94	19	0.003610
95	19	0.001607
96	19	0.001731
97	19	0.003954
98	19	0.003342
99	19	0.001862
0	20	0.027191
1	20	0.055936
2	20	0.018808
3	20	0.015079
4	20	0.033518
5	20	0.026832
6	20	0.001234
7	20	0.024476
8	20	0.031521
9	20	0.014750
10	20	0.013568
11	20	0.032256
12	20	0.026644
13	20	0.000176
14	20	0.028637
15	20	0.036602
16	20	0.015929
17	20	0.019962
18	20	0.044192
19	20	0.035544
20	20	0.004425
21	20	0.049034
22	20	0.062358
23	20	0.024362
24	20	0.050748
25	20	0.115236
26	20	0.105952
27	20	0.047275
28	20	0.690712
29	20	0.668373
30	20	0.053479
31	20	0.092450
32	20	0.101793
33	20	0.045452
34	20	0.018131
35	20	0.049044
36	20	0.038258
37	20	0.004174
38	20	0.024900
39	20	0.030432
40	20	0.013433
41	20	0.010033
42	20	0.022362
43	20	0.016655
44	20	0.000240
45	20	0.014576
46	20	0.016368
47	20	0.005957
48	20	0.007560
49	20	0.013942
50	20	0.009325
51	20	0.001697
52	20	0.010329
53	20	0.010434
54	20	0.002762
55	20	0.006264
56	20	0.009808
57	20	0.005710
58	20	0.002325
59	20	0.007968
60	20	0.007184
61	20	0.001056
62	20	0.005416
63	20	0.007342
64	20	0.003593
65	20	0.002617
66	20	0.006441
67	20	0.005146
68	20	0.000033
69	20	0.004796
70	20	0.005702
71	20	0.002227
72	20	0.002748
73	20	0.005364
74	20	0.003761
75	20	0.000624
76	20	0.004317
77	20	0.004541
78	20	0.001289
79	20	0.002800
80	20	0.004574
81	20	0.002777
82	20	0.001072
83	20	0.003953
84	20	0.003701
85	20	0.000622
86	20	0.002835
87	20	0.004012
88	20	0.002075
89	20	0.001409
90	20	0.003736
91	20	0.003145
92	20	0.000135
93	20	0.002963
94	20	0.003775
95	20	0.001665
96	20	0.001826
97	20	0.004135
98	20	0.003480
99	20	0.001946
0	21	0.026425
1	21	0.054137
2	21	0.018022
3	21	0.014719
4	21	0.032324
5	21	0.025657
6	21	0.000970
7	21	0.023562
8	21	0.030021
9	21	0.013804
10	21	0.013099
11	21	0.030522
12	21	0.024876
13	21	0.000452
14	21	0.026840
15	21	0.033766
16	21	0.014305
17	21	0.018489
18	21	0.039875
19	21	0.031347
20	21	0.004331
21	21	0.042460
22	21	0.052201
23	21	0.019236
24	21	0.040087
25	21	0.084002
26	21	0.068410
27	21	0.026191
28	21	0.183304
29	21	0.382600
30	21	0.836022
31	21	0.219671
32	21	0.174615
33	21	0.066897
34	21	0.025822
35	21	0.064446
36	21	0.048006
37	21	0.004657
38	21	0.030261
39	21	0.035986
40	21	0.015419
41	21	0.011858
42	21	0.025668
43	21	0.018773
44	21	0.000486
45	21	0.016464
46	21	0.018208
47	21	0.006457
48	21	0.008493
49	21	0.015374
50	21	0.010138
51	21	0.001984
52	21	0.011331
53	21	0.011311
54	21	0.002894
55	21	0.006867
56	21	0.010605
57	21	0.006089
58	21	0.002589
59	21	0.008601
60	21	0.007675
61	21	0.001057
62	21	0.005851
63	21	0.007843
64	21	0.003781
65	21	0.002851
66	21	0.006880
67	21	0.005443
68	21	0.000021
69	21	0.005129
70	21	0.006041
71	21	0.002317
72	21	0.002954
73	21	0.005687
74	21	0.003949
75	21	0.000703
76	21	0.004583
77	21	0.004781
78	21	0.001324
79	21	0.002983
80	21	0.004822
81	21	0.002898
82	21	0.001161
83	21	0.004172
84	21	0.003878
85	21	0.000624
86	21	0.002999
87	21	0.004209
88	21	0.002155
89	21	0.001502
90	21	0.003923
91	21	0.003281
92	21	0.000119
93	21	0.003115
94	21	0.003944
95	21	0.001723
96	21	0.001923
97	21	0.004319
98	21	0.003620
99	21	0.002031
0	22	0.025716
1	22	0.052485
2	22	0.017309
3	22	0.014383
4	22	0.031237
5	22	0.024598
6	22	0.000743
7	22	0.022739
8	22	0.028687
9	22	0.012972
10	22	0.012681
11	22	0.029011
12	22	0.023353
13	22	0.000690
14	22	0.025318
15	22	0.031400
16	22	0.012974
17	22	0.017293
18	22	0.036448
19	22	0.028092
20	22	0.004258
21	22	0.037660
22	22	0.045092
23	22	0.015839
24	22	0.033523
25	22	0.066695
26	22	0.050785
27	22	0.018905
28	22	0.108122
29	22	0.152047
30	22	0.058401
31	22	0.777769
32	22	0.549817
33	22	0.124320
34	22	0.041612
35	22	0.091616
36	22	0.063590
37	22	0.005368
38	22	0.037868
39	22	0.043551
40	22	0.018032
41	22	0.014209
42	22	0.029826
43	22	0.021384
44	22	0.000789
45	22	0.018728
46	22	0.020386
47	22	0.007038
48	22	0.009581
49	22	0.017022
50	22	0.011063
51	22	0.002315
52	22	0.012461
53	22	0.012293
54	22	0.003038
55	22	0.007538
56	22	0.011483
57	22	0.006503
58	22	0.002881
59	22	0.009293
60	22	0.008206
61	22	0.001056
62	22	0.006322
63	22	0.008382
64	22	0.003981
65	22	0.003103
66	22	0.007350
67	22	0.005759
68	22	0.000080
69	22	0.005484
70	22	0.006399
71	22	0.002410
72	22	0.003173
73	22	0.006028
74	22	0.004146
75	22	0.000786
76	22	0.004862
77	22	0.005031
78	22	0.001359
79	22	0.003175
80	22	0.005079
81	22	0.003024
82	22	0.001254
83	22	0.004400
84	22	0.004059
85	22	0.000625
86	22	0.003168
87	22	0.004412
88	22	0.002236
89	22	0.001598
90	22	0.004116
91	22	0.003420
92	22	0.000101
93	22	0.003270
94	22	0.004117
95	22	0.001782
96	22	0.002023
97	22	0.004507
98	22	0.003762
99	22	0.002118
0	23	0.025060
1	23	0.050964
2	23	0.016660
3	23	0.014070
4	23	0.030243
5	23	0.023638
6	23	0.000552
7	23	0.021993
8	23	0.027492
9	23	0.012236
10	23	0.012306
11	23	0.027680
12	23	0.022026
13	23	0.000893
14	23	0.024010
15	23	0.029393
16	23	0.011861
17	23	0.016302
18	23	0.033657
19	23	0.025492
20	23	0.004199
21	23	0.033995
22	23	0.039830
23	23	0.013418
24	23	0.029067
25	23	0.055680
26	23	0.040533
27	23	0.015207
28	23	0.077807
29	23	0.096061
30	23	0.027484
31	23	0.148156
32	23	0.520391
33	23	0.791690
34	23	0.092645
35	23	0.152600
36	23	0.092596
37	23	0.006533
38	23	0.049531
39	23	0.054491
40	23	0.021641
41	23	0.017358
42	23	0.035229
43	23	0.024693
44	23	0.001174
45	23	0.021502
46	23	0.023009
47	23	0.007725
48	23	0.010864
49	23	0.018942
50	23	0.012128
51	23	0.002697
52	23	0.013749
53	23	0.013400
54	23	0.003196
55	23	0.008291
56	23	0.012459
57	23	0.006958
58	23	0.003205
59	23	0.010052
60	23	0.008786
61	23	0.001051
62	23	0.006835
63	23	0.008965
64	23	0.004193
65	23	0.003377
66	23	0.007855
67	23	0.006095
68	23	0.000145
69	23	0.005863
70	23	0.006779
71	23	0.002506
72	23	0.003406
73	23	0.006387
74	23	0.004351
75	23	0.000876
76	23	0.005157
77	23	0.005292
78	23	0.001393
79	23	0.003376
80	23	0.005348
81	23	0.003153
82	23	0.001353
83	23	0.004637
84	23	0.004247
85	23	0.000625
86	23	0.003345
87	23	0.004623
88	23	0.002319
89	23	0.001699
90	23	0.004315
91	23	0.003563
92	23	0.000082
93	23	0.003431
94	23	0.004294
95	23	0.001841
96	23	0.002127
97	23	0.004700
98	23	0.003906
99	23	0.002207
0	24	0.024449
1	24	0.049557
2	24	0.016065
3	24	0.013778
4	24	0.029330
5	24	0.022764
6	24	0.000398
7	24	0.021314
8	24	0.026414
9	24	0.011578
10	24	0.011967
11	24	0.026497
12	24	0.020859
13	24	0.001066
14	24	0.022873
15	24	0.027667
16	24	0.010916
17	24	0.015465
18	24	0.031337
19	24	0.023363
20	24	0.004149
21	24	0.031100
22	24	0.035770
23	24	0.011603
24	24	0.025838
25	24	0.048041
26	24	0.033815
27	24	0.012967
28	24	0.061401
29	24	0.070786
30	24	0.017628
31	24	0.084153
32	24	0.181413
33	24	0.184717
34	24	0.829813
35	24	0.415834
36	24	0.165784
37	24	0.008833
38	24	0.069721
39	24	0.071758
40	24	0.026969
41	24	0.021799
42	24	0.042552
43	24	0.029036
44	24	0.001672
45	24	0.024985
46	24	0.026240
47	24	0.008553
48	24	0.012405
49	24	0.021215
50	24	0.013372
51	24	0.003145
52	24	0.015232
53	24	0.014663
54	24	0.003372
55	24	0.009141
56	24	0.013551
57	24	0.007462
58	24	0.003568
59	24	0.010891
60	24	0.009421
61	24	0.001044
62	24	0.007397
63	24	0.009597
64	24	0.004421
65	24	0.003675
66	24	0.008399
67	24	0.006455
68	24	0.000218
69	24	0.006269
70	24	0.007183
71	24	0.002607
72	24	0.003656
73	24	0.006769
74	24	0.004567
75	24	0.000973
76	24	0.005468
77	24	0.005567
78	24	0.001428
79	24	0.003589
80	24	0.005630
81	24	0.003286
82	24	0.001457
83	24	0.004884
84	24	0.004442
85	24	0.000624
86	24	0.003530
87	24	0.004840
88	24	0.002403
89	24	0.001804
90	24	0.004520
91	24	0.003709
92	24	0.000061
93	24	0.003598
94	24	0.004476
95	24	0.001900
96	24	0.002234
97	24	0.004897
98	24	0.004053
99	24	0.002298
0	25	0.023881
1	25	0.048254
2	25	0.015518
3	25	0.013504
4	25	0.028490
5	25	0.021965
6	25	0.000294
7	25	0.020692
8	25	0.025437
9	25	0.010989
10	25	0.011659
11	25	0.025439
12	25	0.019823
13	25	0.001217
14	25	0.021873
15	25	0.026166
16	25	0.010103
17	25	0.014748
18	25	0.029375
19	25	0.021586
20	25	0.004107
21	25	0.028752
22	25	0.032539
23	25	0.010190
24	25	0.023387
25	25	0.042424
26	25	0.029067
27	25	0.011464
28	25	0.051104
29	25	0.056370
30	25	0.012770
31	25	0.059799
32	25	0.111504
33	25	0.083305
34	25	0.082361
35	25	0.644326
36	25	0.711602
37	25	0.015619
38	25	0.113282
39	25	0.103169
40	25	0.035662
41	25	0.028541
42	25	0.053062
43	25	0.035006
44	25	0.002342
45	25	0.029497
46	25	0.030327
47	25	0.009576
48	25	0.014291
49	25	0.023951
50	25	0.014847
51	25	0.003676
52	25	0.016961
53	25	0.016118
54	25	0.003570
55	25	0.010111
56	25	0.014786
57	25	0.008025
58	25	0.003976
59	25	0.011825
60	25	0.010122
61	25	0.001033
62	25	0.008015
63	25	0.010288
64	25	0.004668
65	25	0.004000
66	25	0.008988
67	25	0.006841
68	25	0.000298
69	25	0.006706
70	25	0.007615
71	25	0.002712
72	25	0.003923
73	25	0.007174
74	25	0.004795
75	25	0.001077
76	25	0.005797
77	25	0.005855
78	25	0.001463
79	25	0.003814
80	25	0.005925
81	25	0.003425
82	25	0.001568
83	25	0.005144
84	25	0.004644
85	25	0.000621
86	25	0.003723
87	25	0.005066
88	25	0.002490
89	25	0.001914
90	25	0.004734
91	25	0.003860
92	25	0.000038
93	25	0.003770
94	25	0.004662
95	25	0.001961
96	25	0.002344
97	25	0.005099
98	25	0.004203
99	25	0.002391
0	26	0.023350
1	26	0.047042
2	26	0.015015
3	26	0.013247
4	26	0.027713
5	26	0.021232
6	26	0.000261
7	26	0.020121
8	26	0.024547
9	26	0.010456
10	26	0.011378
11	26	0.024487
12	26	0.018898
13	26	0.001347
14	26	0.020987
15	26	0.024848
16	26	0.009396
17	26	0.014125
18	26	0.027693
19	26	0.020079
20	26	0.004070
21	26	0.026808
22	26	0.029904
23	26	0.009057
24	26	0.021461
25	26	0.038114
26	26	0.025527
27	26	0.010384
28	26	0.044030
29	26	0.047040
30	26	0.009873
31	26	0.046950
32	26	0.081283
33	26	0.053987
34	26	0.045128
35	26	0.187395
36	26	0.323083
37	26	0.842510
38	26	0.277121
39	26	0.178387
40	26	0.052445
41	26	0.040011
42	26	0.069453
43	26	0.043750
44	26	0.003287
45	26	0.035584
46	26	0.035673
47	26	0.010877
48	26	0.016655
49	26	0.027317
50	26	0.016631
51	26	0.004314
52	26	0.019006
53	26	0.017820
54	26	0.003795
55	26	0.011229
56	26	0.016195
57	26	0.008661
58	26	0.004439
59	26	0.012872
60	26	0.010901
61	26	0.001018
62	26	0.008698
63	26	0.011047
64	26	0.004935
65	26	0.004358
66	26	0.009629
67	26	0.007258
68	26	0.000387
69	26	0.007179
70	26	0.008078
71	26	0.002823
72	26	0.004211
73	26	0.007607
74	26	0.005036
75	26	0.001190
76	26	0.006147
77	26	0.006160
78	26	0.001498
79	26	0.004052
80	26	0.006236
81	26	0.003569
82	26	0.001686
83	26	0.005416
84	26	0.004855
85	26	0.000616
86	26	0.003925
87	26	0.005301
88	26	0.002579
89	26	0.002029
90	26	0.004955
91	26	0.004015
92	26	0.000013
93	26	0.003948
94	26	0.004855
95	26	0.002022
96	26	0.002459
97	26	0.005307
98	26	0.004356
99	26	0.002486
0	27	0.022854
1	27	0.045914
2	27	0.014549
3	27	0.013006
4	27	0.026992
5	27	0.020556
6	27	0.000299
7	27	0.019594
8	27	0.023733
9	27	0.009973
10	27	0.011119
11	27	0.023623
12	27	0.018066
13	27	0.001462
14	27	0.020196
15	27	0.023680
16	27	0.008775
17	27	0.013579
18	27	0.026233
19	27	0.018784
20	27	0.004037
21	27	0.025168
22	27	0.027710
23	27	0.008128
24	27	0.019906
25	27	0.034698
26	27	0.022783
27	27	0.009571
28	27	0.038864
29	27	0.040499
30	27	0.007944
31	27	0.039003
32	27	0.064405
33	27	0.040026
34	27	0.031871
35	27	0.111553
36	27	0.133649
37	27	0.012098
38	27	0.744305
39	27	0.602559
40	27	0.098655
41	27	0.063897
42	27	0.098641
43	27	0.057824
44	27	0.004714
45	27	0.044256
46	27	0.042983
47	27	0.012594
48	27	0.019710
49	27	0.031563
50	27	0.018836
51	27	0.005098
52	27	0.021467
53	27	0.019838
54	27	0.004056
55	27	0.012533
56	27	0.017820
57	27	0.009387
58	27	0.004969
59	27	0.014056
60	27	0.011775
61	27	0.000998
62	27	0.009461
63	27	0.011887
64	27	0.005227
65	27	0.004752
66	27	0.010331
67	27	0.007712
68	27	0.000486
69	27	0.007692
70	27	0.008578
71	27	0.002941
72	27	0.004522
73	27	0.008071
74	27	0.005292
75	27	0.001312
76	27	0.006520
77	27	0.006483
78	27	0.001533
79	27	0.004305
80	27	0.006564
81	27	0.003720
82	27	0.001811
83	27	0.005702
84	27	0.005076
85	27	0.000610
86	27	0.004138
87	27	0.005546
88	27	0.002670
89	27	0.002151
90	27	0.005186
91	27	0.004175
92	27	0.000014
93	27	0.004134
94	27	0.005054
95	27	0.002084
96	27	0.002578
97	27	0.005521
98	27	0.004512
99	27	0.002584
0	28	0.022388
1	28	0.044861
2	28	0.014117
3	28	0.012779
4	28	0.026323
5	28	0.019932
6	28	0.000373
7	28	0.019107
8	28	0.022986
9	28	0.009532
10	28	0.010881
11	28	0.022838
12	28	0.017314
13	28	0.001564
14	28	0.019484
15	28	0.022637
16	28	0.008225
17	28	0.013096
18	28	0.024953
19	28	0.017658
20	28	0.004008
21	28	0.023767
22	28	0.025855
23	28	0.007352
24	28	0.018622
25	28	0.031922
26	28	0.020592
27	28	0.008935
28	28	0.034923
29	28	0.035654
30	28	0.006566
31	28	0.033596
32	28	0.053620
33	28	0.031849
34	28	0.025068
35	28	0.080320
36	28	0.084983
37	28	0.004970
38	28	0.165178
39	28	0.463246
40	28	0.814855
41	28	0.144290
42	28	0.165370
43	28	0.084308
44	28	0.007110
45	28	0.057627
46	28	0.053601
47	28	0.014972
48	28	0.023812
49	28	0.037098
50	28	0.021639
51	28	0.006081
52	28	0.024489
53	28	0.022277
54	28	0.004363
55	28	0.014076
56	28	0.019720
57	28	0.010224
58	28	0.005580
59	28	0.015407
60	28	0.012763
61	28	0.000972
62	28	0.010316
63	28	0.012822
64	28	0.005549
65	28	0.005191
66	28	0.011103
67	28	0.008207
68	28	0.000597
69	28	0.008251
70	28	0.009119
71	28	0.003067
72	28	0.004858
73	28	0.008570
74	28	0.005566
75	28	0.001444
76	28	0.006920
77	28	0.006826
78	28	0.001569
79	28	0.004576
80	28	0.006912
81	28	0.003879
82	28	0.001945
83	28	0.006004
84	28	0.005307
85	28	0.000602
86	28	0.004361
87	28	0.005802
88	28	0.002765
89	28	0.002279
90	28	0.005427
91	28	0.004342
92	28	0.000043
93	28	0.004327
94	28	0.005259
95	28	0.002148
96	28	0.002702
97	28	0.005743
98	28	0.004673
99	28	0.002685
0	29	0.021952
1	29	0.043876
2	29	0.013716
3	29	0.012565
4	29	0.025699
5	29	0.019354
6	29	0.000457
7	29	0.018655
8	29	0.022296
9	29	0.009129
10	29	0.010661
11	29	0.022120
12	29	0.016630
13	29	0.001654
14	29	0.018840
15	29	0.021700
16	29	0.007734
17	29	0.012665
18	29	0.023821
19	29	0.016670
20	29	0.003982
21	29	0.022553
22	29	0.024263
23	29	0.006692
24	29	0.017544
25	29	0.029620
26	29	0.018800
27	29	0.008424
28	29	0.031813
29	29	0.031917
30	29	0.005530
31	29	0.029677
32	29	0.046125
33	29	0.026472
34	29	0.020927
35	29	0.063267
36	29	0.062660
37	29	0.002610
38	29	0.094832
39	29	0.170641
40	29	0.130237
41	29	0.812021
42	29	0.473661
43	29	0.152776
44	29	0.011956
45	29	0.080974
46	29	0.070469
47	29	0.018499
48	29	0.029617
49	29	0.044626
50	29	0.025329
51	29	0.007349
52	29	0.028292
53	29	0.025289
54	29	0.004733
55	29	0.015930
56	29	0.021973
57	29	0.011203
58	29	0.006295
59	29	0.016967
60	29	0.013893
61	29	0.000940
62	29	0.011285
63	29	0.013871
64	29	0.005906
65	29	0.005680
66	29	0.011958
67	29	0.008750
68	29	0.000720
69	29	0.008864
70	29	0.009709
71	29	0.003201
72	29	0.005225
73	29	0.009108
74	29	0.005859
75	29	0.001589
76	29	0.007349
77	29	0.007192
78	29	0.001606
79	29	0.004864
80	29	0.007281
81	29	0.004045
82	29	0.002088
83	29	0.006324
84	29	0.005549
85	29	0.000592
86	29	0.004597
87	29	0.006071
88	29	0.002862
89	29	0.002414
90	29	0.005678
91	29	0.004514
92	29	0.000074
93	29	0.004529
94	29	0.005473
95	29	0.002213
96	29	0.002832
97	29	0.005971
98	29	0.004838
99	29	0.002790
0	30	0.021542
1	30	0.042953
2	30	0.013343
3	30	0.012364
4	30	0.025117
5	30	0.018817
6	30	0.000542
7	30	0.018235
8	30	0.021659
9	30	0.008759
10	30	0.010457
11	30	0.021460
12	30	0.016006
13	30	0.001735
14	30	0.018255
15	30	0.020853
16	30	0.007294
17	30	0.012278
18	30	0.022813
19	30	0.015794
20	30	0.003958
21	30	0.021492
22	30	0.022883
23	30	0.006125
24	30	0.016625
25	30	0.027677
26	30	0.017305
27	30	0.008004
28	30	0.029295
29	30	0.028943
30	30	0.004722
31	30	0.026703
32	30	0.040608
33	30	0.022662
34	30	0.018140
35	30	0.052515
36	30	0.049833
37	30	0.001427
38	30	0.067407
39	30	0.105765
40	30	0.060251
41	30	0.112460
42	30	0.594247
43	30	0.749287
44	30	0.026854
45	30	0.132183
46	30	0.101462
47	30	0.024289
48	30	0.038475
49	30	0.055476
50	30	0.030420
51	30	0.009049
52	30	0.033233
53	30	0.029107
54	30	0.005188
55	30	0.018204
56	30	0.024691
57	30	0.012368
58	30	0.007141
59	30	0.018789
60	30	0.015198
61	30	0.000900
62	30	0.012391
63	30	0.015059
64	30	0.006305
65	30	0.006231
66	30	0.012911
67	30	0.009352
68	30	0.000859
69	30	0.009539
70	30	0.010354
71	30	0.003345
72	30	0.005626
73	30	0.009693
74	30	0.006174
75	30	0.001746
76	30	0.007811
77	30	0.007583
78	30	0.001644
79	30	0.005174
80	30	0.007674
81	30	0.004221
82	30	0.002241
83	30	0.006663
84	30	0.005805
85	30	0.000580
86	30	0.004847
87	30	0.006354
88	30	0.002964
89	30	0.002557
90	30	0.005942
91	30	0.004694
92	30	0.000108
93	30	0.004739
94	30	0.005694
95	30	0.002279
96	30	0.002967
97	30	0.006209
98	30	0.005009
99	30	0.002898
0	31	0.021157
1	31	0.042088
2	31	0.012994
3	31	0.012174
4	31	0.024573
5	31	0.018316
6	31	0.000623
