m	n	S12
10	3	0.004241
11	3	0.030544
12	3	0.028390
13	3	0.008241
14	3	0.011869
15	3	0.018856
16	3	0.011290
17	3	0.002438
18	3	0.011662
19	3	0.010915
20	3	0.002576
21	3	0.006169
22	3	0.009072
23	3	0.004999
24	3	0.002086
25	3	0.006656
26	3	0.005760
27	3	0.000772
28	3	0.004160
29	3	0.005442
30	3	0.002565
31	3	0.001886
32	3	0.004460
33	3	0.003456
34	3	0.000021
35	3	0.003138
36	3	0.003621
37	3	0.001353
38	3	0.001726
39	3	0.003243
40	3	0.002197
41	3	0.000416
42	3	0.002507
43	3	0.002546
44	3	0.000660
45	3	0.001585
46	3	0.002470
47	3	0.001422
48	3	0.000632
49	3	0.002069
50	3	0.001841
51	3	0.000229
52	3	0.001458
53	3	0.001931
54	3	0.000906
55	3	0.000751
56	3	0.001741
57	3	0.001346
58	3	0.000056
59	3	0.001341
60	3	0.001533
61	3	0.000542
62	3	0.000815
63	3	0.001482
64	3	0.000980
65	3	0.000251
66	3	0.001234
67	3	0.001225
68	3	0.000276
69	3	0.000847
70	3	0.001271
71	3	0.000700
72	3	0.000389
73	3	0.001137
74	3	0.000981
75	3	0.000073
76	3	0.000860
77	3	0.001098
78	3	0.000479
79	3	0.000491
80	3	0.001053
81	3	0.000784
82	3	0.000086
83	3	0.000868
84	3	0.000958
85	3	0.000302
86	3	0.000577
87	3	0.000992
88	3	0.000628
89	3	0.000223
90	3	0.000894
91	3	0.000862
92	3	0.000153
93	3	0.000684
94	3	0.000997
95	3	0.000526
96	3	0.000395
97	3	0.001086
98	3	0.000995
99	3	0.000516
0	4	0.067598
1	4	0.177686
2	4	0.096675
3	4	0.034569
4	4	0.211783
5	4	0.438815
6	4	0.830035
7	4	0.169175
8	4	0.151647
9	4	0.067336
10	4	0.009807
11	4	0.046370
12	4	0.039836
13	4	0.009987
14	4	0.017259
15	4	0.025418
16	4	0.014306
17	4	0.003985
18	4	0.015519
19	4	0.013870
20	4	0.002787
21	4	0.008263
22	4	0.011540
23	4	0.006024
24	4	0.002973
25	4	0.008498
26	4	0.007081
27	4	0.000700
28	4	0.005367
29	4	0.006749
30	4	0.003006
31	4	0.002520
32	4	0.005572
33	4	0.004171
34	4	0.000179
35	4	0.003959
36	4	0.004423
37	4	0.001544
38	4	0.002226
39	4	0.003995
40	4	0.002617
41	4	0.000610
42	4	0.003116
43	4	0.003077
44	4	0.000722
45	4	0.002000
46	4	0.003011
47	4	0.001674
48	4	0.000838
49	4	0.002543
50	4	0.002207
51	4	0.000217
52	4	0.001811
53	4	0.002337
54	4	0.001052
55	4	0.000958
56	4	0.002122
57	4	0.001601
58	4	0.000113
59	4	0.001648
60	4	0.001843
61	4	0.000618
62	4	0.001018
63	4	0.001794
64	4	0.001158
65	4	0.000336
66	4	0.001504
67	4	0.001465
68	4	0.000303
69	4	0.001043
70	4	0.001531
71	4	0.000821
72	4	0.000493
73	4	0.001377
74	4	0.001167
75	4	0.000065
76	4	0.001049
77	4	0.001316
78	4	0.000557
79	4	0.000608
80	4	0.001269
81	4	0.000928
82	4	0.000122
83	4	0.001051
84	4	0.001143
85	4	0.000346
86	4	0.000705
87	4	0.001189
88	4	0.000741
89	4	0.000281
90	4	0.001075
91	4	0.001025
92	4	0.000171
93	4	0.000826
94	4	0.001189
95	4	0.000619
96	4	0.000480
97	4	0.001297
98	4	0.001180
99	4	0.000616
0	5	0.060127
1	5	0.149768
2	5	0.073937
3	5	0.029956
4	5	0.135033
5	5	0.180619
6	5	0.085606
7	5	0.811121
8	5	0.500439
9	5	0.131037
10	5	0.021126
11	5	0.073088
12	5	0.057084
13	5	0.012222
14	5	0.024631
15	5	0.033835
16	5	0.017921
17	5	0.005987
18	5	0.020116
19	5	0.017232
20	5	0.002927
21	5	0.010679
22	5	0.014262
23	5	0.007081
24	5	0.004002
25	5	0.010496
26	5	0.008454
27	5	0.000568
28	5	0.006671
29	5	0.008104
30	5	0.003424
31	5	0.003214
32	5	0.006723
33	5	0.004879
34	5	0.000379
35	5	0.004812
36	5	0.005227
37	5	0.001709
38	5	0.002753
39	5	0.004752
40	5	0.003019
41	5	0.000828
42	5	0.003732
43	5	0.003596
44	5	0.000764
45	5	0.002425
46	5	0.003546
47	5	0.001907
48	5	0.001057
49	5	0.003015
50	5	0.002557
51	5	0.000191
52	5	0.002167
53	5	0.002730
54	5	0.001183
55	5	0.001171
56	5	0.002495
57	5	0.001842
58	5	0.000179
59	5	0.001952
60	5	0.002140
61	5	0.000683
62	5	0.001222
63	5	0.002096
64	5	0.001323
65	5	0.000427
66	5	0.001768
67	5	0.001692
68	5	0.000321
69	5	0.001237
70	5	0.001779
71	5	0.000931
72	5	0.000599
73	5	0.001609
74	5	0.001341
75	5	0.000050
76	5	0.001234
77	5	0.001522
78	5	0.000626
79	5	0.000725
80	5	0.001475
81	5	0.001063
82	5	0.000160
83	5	0.001228
84	5	0.001318
85	5	0.000384
86	5	0.000829
87	5	0.001376
88	5	0.000844
89	5	0.000339
90	5	0.001248
91	5	0.001178
92	5	0.000185
93	5	0.000962
94	5	0.001371
95	5	0.000705
96	5	0.000563
97	5	0.001496
98	5	0.001352
99	5	0.000710
0	6	0.054475
1	6	0.130727
2	6	0.060314
3	6	0.027147
4	6	0.103242
5	6	0.118773
6	6	0.038866
7	6	0.151299
8	6	0.568632
9	6	0.770068
10	6	0.056609
11	6	0.131095
12	6	0.087970
13	6	0.015602
14	6	0.035613
15	6	0.045505
16	6	0.022608
17	6	0.008651
18	6	0.025853
19	6	0.021254
20	6	0.003012
21	6	0.013543
22	6	0.017374
23	6	0.008222
24	6	0.005205
25	6	0.012721
26	6	0.009928
27	6	0.000379
28	6	0.008103
29	6	0.009547
30	6	0.003835
31	6	0.003980
32	6	0.007941
33	6	0.005601
34	6	0.000616
35	6	0.005714
36	6	0.006049
37	6	0.001857
38	6	0.003313
39	6	0.005529
40	6	0.003413
41	6	0.001070
42	6	0.004367
43	6	0.004113
44	6	0.000790
45	6	0.002867
46	6	0.004083
47	6	0.002130
48	6	0.001289
49	6	0.003491
50	6	0.002900
51	6	0.000152
52	6	0.002530
53	6	0.003120
54	6	0.001304
55	6	0.001391
56	6	0.002867
57	6	0.002074
58	6	0.000254
59	6	0.002258
60	6	0.002430
61	6	0.000738
62	6	0.001429
63	6	0.002394
64	6	0.001479
65	6	0.000523
66	6	0.002030
67	6	0.001911
68	6	0.000333
69	6	0.001431
70	6	0.002021
71	6	0.001033
72	6	0.000708
73	6	0.001836
74	6	0.001508
75	6	0.000032
76	6	0.001416
77	6	0.001722
78	6	0.000689
79	6	0.000842
80	6	0.001675
81	6	0.001190
82	6	0.000202
83	6	0.001400
84	6	0.001485
85	6	0.000417
86	6	0.000952
87	6	0.001557
88	6	0.000942
89	6	0.000398
90	6	0.001415
91	6	0.001323
92	6	0.000195
93	6	0.001094
94	6	0.001544
95	6	0.000784
96	6	0.000644
97	6	0.001686
98	6	0.001515
99	6	0.000800
0	7	0.050019
1	7	0.116759
2	7	0.051176
3	7	0.025129
4	7	0.085412
5	7	0.090433
6	7	0.024152
7	7	0.091400
8	7	0.200546
9	7	0.222164
10	7	0.844153
11	7	0.369668
12	7	0.163498
13	7	0.021971
14	7	0.054191
15	7	0.063382
16	7	0.029239
17	7	0.012369
18	7	0.033393
19	7	0.026314
20	7	0.003050
21	7	0.017044
22	7	0.021054
23	7	0.009508
24	7	0.006632
25	7	0.015258
26	7	0.011560
27	7	0.000131
28	7	0.009704
29	7	0.011117
30	7	0.004252
31	7	0.004831
32	7	0.009251
33	7	0.006352
34	7	0.000893
35	7	0.006678
36	7	0.006907
37	7	0.001991
38	7	0.003914
39	7	0.006337
40	7	0.003808
41	7	0.001335
42	7	0.005028
43	7	0.004638
44	7	0.000801
45	7	0.003328
46	7	0.004630
47	7	0.002345
48	7	0.001537
49	7	0.003978
50	7	0.003240
51	7	0.000103
52	7	0.002901
53	7	0.003509
54	7	0.001416
55	7	0.001621
56	7	0.003241
57	7	0.002300
58	7	0.000337
59	7	0.002566
60	7	0.002716
61	7	0.000786
62	7	0.001641
63	7	0.002689
64	7	0.001629
65	7	0.000625
66	7	0.002291
67	7	0.002125
68	7	0.000339
69	7	0.001627
70	7	0.002259
71	7	0.001130
72	7	0.000820
73	7	0.002061
74	7	0.001669
75	7	0.000009
76	7	0.001598
77	7	0.001916
78	7	0.000747
79	7	0.000959
80	7	0.001872
81	7	0.001311
82	7	0.000246
83	7	0.001570
84	7	0.001647
85	7	0.000446
86	7	0.001074
87	7	0.001732
88	7	0.001034
89	7	0.000458
90	7	0.001579
91	7	0.001462
92	7	0.000203
93	7	0.001224
94	7	0.001711
95	7	0.000859
96	7	0.000724
97	7	0.001870
98	7	0.001671
99	7	0.000886
0	8	0.046396
1	8	0.105999
2	8	0.044596
3	8	0.023551
4	8	0.073800
5	8	0.073944
6	8	0.016915
7	8	0.068502
8	8	0.127319
9	8	0.100409
10	8	0.069271
11	8	0.682994
12	8	0.680171
13	8	0.040105
14	8	0.093434
15	8	0.095171
16	8	0.039747
17	8	0.017946
18	8	0.043963
19	8	0.033056
20	8	0.003041
21	8	0.021483
22	8	0.025566
23	8	0.011016
24	8	0.008359
25	8	0.018225
26	8	0.013415
27	8	0.000188
28	8	0.011525
29	8	0.012861
30	8	0.004689
31	8	0.005788
32	8	0.010683
33	8	0.007150
34	8	0.001212
35	8	0.007722
36	8	0.007814
37	8	0.002116
38	8	0.004563
39	8	0.007188
40	8	0.004211
41	8	0.001628
42	8	0.005723
43	8	0.005178
44	8	0.000801
45	8	0.003814
46	8	0.005192
47	8	0.002558
48	8	0.001802
49	8	0.004479
50	8	0.003582
51	8	0.000043
52	8	0.003286
53	8	0.003903
54	8	0.001523
55	8	0.001861
56	8	0.003621
57	8	0.002523
58	8	0.000428
59	8	0.002881
60	8	0.003002
61	8	0.000828
62	8	0.001859
63	8	0.002986
64	8	0.001775
65	8	0.000732
66	8	0.002555
67	8	0.002336
68	8	0.000339
69	8	0.001826
70	8	0.002495
71	8	0.001222
72	8	0.000935
73	8	0.002286
74	8	0.001826
75	8	0.000019
76	8	0.001780
77	8	0.002108
78	8	0.000801
79	8	0.001079
80	8	0.002066
81	8	0.001429
82	8	0.000292
83	8	0.001740
84	8	0.001804
85	8	0.000472
86	8	0.001196
87	8	0.001904
88	8	0.001123
89	8	0.000519
90	8	0.001740
91	8	0.001597
92	8	0.000208
93	8	0.001353
94	8	0.001875
95	8	0.000931
96	8	0.000804
97	8	0.002050
98	8	0.001822
99	8	0.000971
0	9	0.043383
1	9	0.097412
2	9	0.039618
3	9	0.022256
4	9	0.065535
5	9	0.063051
6	9	0.012608
7	9	0.056209
8	9	0.095574
9	9	0.065840
10	9	0.040919
11	9	0.195983
12	9	0.364145
13	9	0.841386
14	9	0.235798
15	9	0.169628
16	9	0.059595
17	9	0.027316
18	9	0.060148
19	9	0.042707
20	9	0.002978
21	9	0.027364
22	9	0.031326
23	9	0.012862
24	9	0.010497
25	9	0.021788
26	9	0.015584
27	9	0.000584
28	9	0.013635
29	9	0.014837
30	9	0.005159
31	9	0.006875
32	9	0.012273
33	9	0.008014
34	9	0.001579
35	9	0.008865
36	9	0.008788
37	9	0.002236
38	9	0.005270
39	9	0.008096
40	9	0.004628
41	9	0.001950
42	9	0.006460
43	9	0.005738
44	9	0.000789
45	9	0.004329
46	9	0.005777
47	9	0.002769
48	9	0.002085
49	9	0.005000
50	9	0.003930
51	9	0.000029
52	9	0.003686
53	9	0.004306
54	9	0.001625
55	9	0.002112
56	9	0.004009
57	9	0.002746
58	9	0.000526
59	9	0.003204
60	9	0.003289
61	9	0.000866
62	9	0.002084
63	9	0.003285
64	9	0.001917
65	9	0.000844
66	9	0.002822
67	9	0.002546
68	9	0.000336
69	9	0.002029
70	9	0.002732
71	9	0.001311
72	9	0.001054
73	9	0.002511
74	9	0.001981
75	9	0.000049
76	9	0.001964
77	9	0.002298
78	9	0.000851
79	9	0.001200
80	9	0.002259
81	9	0.001543
82	9	0.000341
83	9	0.001909
84	9	0.001960
85	9	0.000495
86	9	0.001319
87	9	0.002074
88	9	0.001208
89	9	0.000582
90	9	0.001900
91	9	0.001729
92	9	0.000211
93	9	0.001481
94	9	0.002035
95	9	0.000999
96	9	0.000883
97	9	0.002225
98	9	0.001968
99	9	0.001054
0	10	0.040830
1	10	0.090374
2	10	0.035714
3	10	0.021160
4	10	0.059296
5	10	0.055265
6	10	0.009758
7	10	0.048432
8	10	0.077659
9	10	0.049363
10	10	0.030870
11	10	0.119758
12	10	0.150503
13	10	0.036864
14	10	0.771817
15	10	0.565358
16	10	0.112920
17	10	0.046546
18	10	0.088525
19	10	0.057971
20	10	0.002840
21	10	0.035623
22	10	0.039054
23	10	0.015230
24	10	0.013230
25	10	0.026198
26	10	0.018196
27	10	0.001082
28	10	0.016128
29	10	0.017124
30	10	0.005678
31	10	0.008128
32	10	0.014065
33	10	0.008967
34	10	0.002003
35	10	0.010132
36	10	0.009849
37	10	0.002352
38	10	0.006047
39	10	0.009075
40	10	0.005065
41	10	0.002305
42	10	0.007249
43	10	0.006328
44	10	0.000767
45	10	0.004879
46	10	0.006390
47	10	0.002984
48	10	0.002389
49	10	0.005545
50	10	0.004286
51	10	0.000109
52	10	0.004105
53	10	0.004719
54	10	0.001724
55	10	0.002376
56	10	0.004409
57	10	0.002970
58	10	0.000633
59	10	0.003537
60	10	0.003581
61	10	0.000898
62	10	0.002317
63	10	0.003590
64	10	0.002058
65	10	0.000963
66	10	0.003095
67	10	0.002756
68	10	0.000328
69	10	0.002236
70	10	0.002970
71	10	0.001397
72	10	0.001177
73	10	0.002739
74	10	0.002134
75	10	0.000084
76	10	0.002151
77	10	0.002487
78	10	0.000899
79	10	0.001324
80	10	0.002453
81	10	0.001656
82	10	0.000393
83	10	0.002078
84	10	0.002113
85	10	0.000515
86	10	0.001443
87	10	0.002243
88	10	0.001291
89	10	0.000647
90	10	0.002059
91	10	0.001859
92	10	0.000212
93	10	0.001608
94	10	0.002192
95	10	0.001065
96	10	0.000963
97	10	0.002399
98	10	0.002111
99	10	0.001135
0	11	0.038634
1	11	0.084485
2	11	0.032567
3	11	0.020213
4	11	0.054386
5	11	0.049393
6	11	0.007738
7	11	0.043010
8	11	0.066058
9	11	0.039659
10	11	0.025655
11	11	0.088495
12	11	0.097097
13	11	0.016152
14	11	0.162776
15	11	0.503288
16	11	0.800841
17	11	0.109469
18	11	0.152292
19	11	0.086262
20	11	0.002570
21	11	0.048199
22	11	0.050117
23	11	0.018443
24	11	0.016864
25	11	0.031858
26	11	0.021450
27	11	0.001715
28	11	0.019143
29	11	0.019832
30	11	0.006270
31	11	0.009593
32	11	0.016119
33	11	0.010037
34	11	0.002494
35	11	0.011554
36	11	0.011020
37	11	0.002467
38	11	0.006907
39	11	0.010141
40	11	0.005530
41	11	0.002699
42	11	0.008100
43	11	0.006954
44	11	0.000733
45	11	0.005470
46	11	0.007038
47	11	0.003203
48	11	0.002716
49	11	0.006119
50	11	0.004656
51	11	0.000200
52	11	0.004545
53	11	0.005148
54	11	0.001821
55	11	0.002655
56	11	0.004823
57	11	0.003197
58	11	0.000749
59	11	0.003882
60	11	0.003878
61	11	0.000927
62	11	0.002559
63	11	0.003901
64	11	0.002199
65	11	0.001088
66	11	0.003374
67	11	0.002968
68	11	0.000316
69	11	0.002449
70	11	0.003210
71	11	0.001480
72	11	0.001305
73	11	0.002969
74	11	0.002287
75	11	0.000121
76	11	0.002340
77	11	0.002677
78	11	0.000944
79	11	0.001451
80	11	0.002648
81	11	0.001767
82	11	0.000447
83	11	0.002249
84	11	0.002266
