"Freq [GHz]","dB(S(2,1)) []","dB(S(2,1))_1 []"
27.58,-116.09092556007,-115.844948543788
27.59,-115.778086212932,-115.531493016921
27.6,-115.464162199793,-115.216947625709
27.61,-115.149144209514,-114.901302985635
27.62,-114.833022799749,-114.58454958051
27.63,-114.515788394406,-114.26667775882
27.64,-114.197431281595,-113.947677732327
27.65,-113.877941611321,-113.627539573288
27.66,-113.557309392719,-113.306253211806
27.67,-113.235524490731,-112.98380843312
27.68,-112.912576624985,-112.660194874887
27.69,-112.58845536546,-112.335402025198
27.7,-112.26315013115,-112.00941921822
27.71,-111.936650185639,-111.682235633063
27.72,-111.608944635902,-111.353840288924
27.73,-111.280022427564,-111.024222043701
27.74,-110.949872343226,-110.693369589894
27.75,-110.618482998004,-110.361271451747
27.76,-110.285842837832,-110.027915981322
27.77,-109.951940134156,-109.693291356373
27.78,-109.616762982467,-109.357385575392
27.79,-109.280299297365,-109.020186455087
27.8,-108.942536809186,-108.681681626038
27.81,-108.603463061026,-108.341858529559
27.82,-108.263065404043,-108.000704412926
27.83,-107.921330993855,-107.658206326401
27.84,-107.578246786523,-107.314351118153
27.85,-107.233799534412,-106.96912543098
27.86,-106.887975781612,-106.62251569697
27.87,-106.540761859902,-106.274508133913
27.88,-106.192143883955,-105.925088740062
27.89,-105.84210774732,-105.574243290035
27.9,-105.490639116281,-105.221957329238
27.91,-105.137723426461,-104.868216169525
27.92,-104.783345876551,-104.51300488344
27.93,-104.427491423991,-104.15630829958
27.94,-104.070144778948,-103.798110996436
27.95,-103.711290398978,-103.438397297401
27.96,-103.350912483537,-103.077151264524
27.97,-102.988994967822,-102.714356692807
27.98,-102.625521516824,-102.349997103907
27.99,-102.260475518945,-101.984055739869
28,-101.893840080034,-101.616515556739
28.01,-101.525598016074,-101.247359217566
28.02,-101.155731847089,-100.876569085658
28.03,-100.784223789406,-100.504127217363
28.04,-100.411055748791,-100.130015354677
28.05,-100.036209312818,-99.754214917631
28.06,-99.6596657434723,-99.3767069967321
28.07,-99.2814059685087,-98.997472344136
28.08,-98.9014105736856,-98.6164913660397
28.09,-98.5196597942236,-98.2337441136063
28.1,-98.1361335058496,-97.8492102742831
28.11,-97.7508112158635,-97.4628691623896
28.12,-97.3636720537085,-97.074699709633
28.13,-96.974694761273,-96.684680455348
28.14,-96.5838576828607,-96.2927895363269
28.15,-96.1911387549002,-95.8990046761749
28.16,-95.7965154952478,-95.5033031746194
28.17,-95.3999649919424,-95.1056618960216
28.18,-95.0014638919768,-94.7060572580048
28.19,-94.6009883893215,-94.3044652191816
28.2,-94.1985142126866,-93.9008612668144
28.21,-93.7940166128232,-93.4952204039032
28.22,-93.3874703493389,-93.0875171357214
28.23,-92.978849676972,-92.6777254560459
28.24,-92.5681283317881,-92.265818832803
28.25,-92.1552795162515,-91.8517701931343
28.26,-91.7402758840745,-91.4355519080003
28.27,-91.3230895246385,-91.0171357762505
28.28,-90.9036919465284,-90.5964930078567
28.29,-90.4820540607052,-90.1735942068654
28.3,-90.0581461628593,-89.7484093534671
28.31,-89.6319379150832,-89.3209077853431
28.32,-89.2033983271444,-88.8910581785026
28.33,-88.772495736568,-88.4588285272132
28.34,-88.3391977882863,-88.0241861231368
28.35,-87.9034714133621,-87.5870975337239
28.36,-87.4652828067584,-87.1475285797115
28.37,-87.0245974045003,-86.7054443116473
28.38,-86.5813798595156,-86.2608089855648
28.39,-86.1355940169055,-85.8135860375785
28.4,-85.6872028878062,-85.3637380574271
28.41,-85.2361686224565,-84.9112267609852
28.42,-84.7824524819004,-84.4560129615201
28.43,-84.3260148087146,-83.9980565397527
28.44,-83.8668149962312,-83.5373164126859
28.45,-83.4048114566229,-83.0737505009527
28.46,-82.9399615874687,-82.6073156948586
28.47,-82.4722217369239,-82.1379678188561
28.48,-82.0015471672846,-81.665661594408
28.49,-81.52789201688,-81.1903506012154
28.5,-81.0512092603089,-80.7119872366236
28.51,-80.5714506667539,-80.2305226732359
28.52,-80.0885667564436,-79.7459068144192
28.53,-79.6025067549399,-79.2580882478373
28.54,-79.1132185454248,-78.76701419669
28.55,-78.6206486185332,-78.2726304686247
28.56,-78.1247420197991,-77.7748814021702
28.57,-77.6254422945794,-77.273709810502
28.58,-77.1226914301654,-76.7690569224451
28.59,-76.6164297949828,-76.2608623204674
28.6,-76.1065960747588,-75.7490638755217
28.61,-75.5931272053507,-75.2335976785461
28.62,-75.0759583021401,-74.714397968396
28.63,-74.555022585604,-74.1913970559128
28.64,-74.0302513030333,-73.6645252440184
28.65,-73.5015736459695,-73.1337107434398
28.66,-72.968916663141,-72.5988795838355
28.67,-72.4322051685946,-72.0599555200001
28.68,-71.8913616446615,-71.5168599328024
28.69,-71.346306139453,-70.9695117245011
28.7,-70.7969561584463,-70.4178272080289
28.71,-70.2432265497793,-69.8617199898372
28.72,-69.6850293827648,-69.3011008457973
28.73,-69.1222738191276,-68.7358775896948
28.74,-68.5548659765133,-68.1659549337345
28.75,-67.9827087835392,-67.5912343404661
28.76,-67.405701825838,-67.0116138654782
28.77,-66.823741182403,-66.4269879901393
28.78,-66.2367192514351,-65.8372474436179
28.79,-65.6445245648413,-65.242279013308
28.8,-65.0470415905542,-64.6419653427404
28.81,-64.4441505215359,-64.0361847159553
28.82,-63.8357270505184,-63.4248108271933
28.83,-63.2216421291268,-62.8077125346858
28.84,-62.6017617101568,-62.1847535971693
28.85,-61.9759464714511,-61.5557923916222
28.86,-61.344051519829,-60.9206816105702
28.87,-60.7059260731764,-60.2792679371167
28.88,-60.0614131188098,-59.6313916956708
28.89,-59.41034904578,-58.9768864761192
28.9,-58.7525632487829,-58.3155787289413
28.91,-58.0878777008181,-57.647287328469
28.92,-57.4161064916401,-56.9718231012078
28.93,-56.7370553285124,-56.2889883157369
28.94,-56.0505209954912,-55.5985761303292
28.95,-55.3562907669395,-54.9003699939368
28.96,-54.6541417704419,-54.194142995691
28.97,-53.9438402937238,-53.4796571574348
28.98,-53.2251410294323,-52.7566626631247
28.99,-52.4977862509054,-52.0248970181648
29,-51.7615049110329,-51.2840841307991
29.01,-51.0160116554066,-50.5339333066835
29.02,-50.2610057395645,-49.7741381465426
29.03,-49.496169838858,-49.0043753354484
29.04,-48.721168737742,-48.2243033106715
29.05,-47.9356478833967,-47.4335607932309
29.06,-47.1392317863881,-46.6317651661442
29.07,-46.3315222484384,-45.8185106799628
29.08,-45.5120963943553,-44.9933664633389
29.09,-44.6805044816061,-44.1558743131351
29.1,-43.8362674568773,-43.3055462348646
29.11,-42.9788742240341,-42.4418616999444
29.12,-42.1077785822375,-41.5642645813917
29.13,-41.2223957862268,-40.6721597240535
29.14,-40.3220986730397,-39.7649090993315
29.15,-39.4062132903331,-38.8418274876055
29.16,-38.4740139510862,-37.9021776244526
29.17,-37.5247176275553,-36.945164739556
29.18,-36.5574775841285,-35.9699304107238
29.19,-35.571376134311,-34.9755456508001
29.2,-34.5654163923396,-33.9610031447617
29.21,-33.5385128761742,-32.925208561507
29.22,-32.4894808087533,-31.8669708860464
29.23,-31.4170239634926,-30.7849917634348
29.24,-30.3197209171745,-29.6778539332332
29.25,-29.1960096248657,-28.5440089920972
29.26,-28.0441703456851,-27.3817650016723
29.27,-26.8623071753133,-26.1892749436748
29.28,-25.6483288694266,-24.9645278573383
29.29,-24.3999304287147,-23.7053459233749
29.3,-23.1145783410285,-22.4093932097106
29.31,-21.789504944115,-21.074206007601
29.32,-20.4217219973019,-19.6972619445888
29.33,-19.0080718957243,-18.2761175664471
29.34,-17.5453500488461,-16.8086655272997
29.35,-16.0305592028322,-15.2935987634215
29.36,-14.4614053203487,-13.7312280988476
29.37,-12.8372299709763,-12.1248884705858
29.38,-11.1607144190971,-10.4832770002045
29.39,-9.44088753946531,-8.82411359898829
29.4,-7.69812511550963,-7.17922253052107
29.41,-5.97149478337984,-5.59983731465117
29.42,-4.32673311057927,-4.15782944885796
29.43,-2.85760984980783,-2.93494688214056
