"Freq [GHz]","dB(S(2,1)) []","dB(S(2,1))_1 []"
32.43,-73.2105604741002,-73.2812563873746
32.44,-73.4010962490756,-73.470908096249
32.45,-73.5902528784724,-73.6591892953458
32.46,-73.7780434211151,-73.8461128830525
32.47,-73.9644807327892,-74.0316915577758
32.48,-74.1495774706476,-74.2159378221201
32.49,-74.3333460972545,-74.3988639869623
32.5,-74.5157988846339,-74.5804821754274
32.51,-74.6969479182267,-74.7608043267283
32.52,-74.8768051005893,-74.9398421999434
32.53,-75.0553821552651,-75.1176073776636
32.54,-75.2326906302297,-75.2941112695575
32.55,-75.408741901565,-75.4693651158442
32.56,-75.5835471767368,-75.6433799906781
32.57,-75.7571174980374,-75.8161668054375
32.58,-75.9294637458282,-75.9877363119416
32.59,-76.1005966416,-76.158099105582
32.6,-76.2705267512382,-76.3272656283714
32.61,-76.4392644878591,-76.4952461719271
32.62,-76.6068201148401,-76.662050880363
32.63,-76.7732037486578,-76.8276897531395
32.64,-76.9384253617144,-76.9921726478095
32.65,-77.1024947849986,-77.1555092827282
32.66,-77.2654217107509,-77.3177092396786
32.67,-77.4272156950674,-77.4787819664415
32.68,-77.5878861605275,-77.6387367793063
32.69,-77.7474423984283,-77.7975828655216
32.7,-77.905893571448,-77.955329285691
32.71,-78.0632487158556,-78.111984976101
32.72,-78.2195167438371,-78.2675587510182
32.73,-78.374706445775,-78.4220593049088
32.74,-78.5288264923206,-78.5754952146335
32.75,-78.6818854367453,-78.7278749415762
32.76,-78.8338917169045,-78.8792068337157
32.77,-78.9848536573166,-79.0294991276945
32.78,-79.1347794710707,-79.1787599507842
32.79,-79.2836772620079,-79.3269973228568
32.8,-79.4315550264083,-79.4742191582903
32.81,-79.5784206549923,-79.6204332678275
32.82,-79.7242819347245,-79.765647360426
32.83,-79.869146550647,-79.9098690450216
32.84,-80.0130220875689,-80.0531058323139
32.85,-80.1559160317904,-80.1953651364566
32.86,-80.297835772875,-80.336654276755
32.87,-80.4387886052481,-80.4769804793103
32.88,-80.5787817297845,-80.6163508786354
32.89,-80.7178222553848,-80.754772519233
32.9,-80.8559172006184,-80.8922523571533
32.91,-80.9930734951922,-81.0287972615139
32.92,-81.129297981437,-81.1644140159876
32.93,-81.2645974156971,-81.2991093202637
32.94,-81.3989784699724,-81.4328897914995
32.95,-81.5324477330867,-81.5657619656955
32.96,-81.6650117122037,-81.6977322991112
32.97,-81.796676834231,-81.8288071695956
32.98,-81.9274494469814,-81.9589928779302
32.99,-82.0573358206004,-82.0882956491322
33,-82.1863421488882,-82.2167216337283
33.01,-82.3144745503428,-82.3442769090321
33.02,-82.441739069703,-82.4709674803623
33.03,-82.5681416789315,-82.5967992822664
33.04,-82.6936882784463,-82.721778179717
33.05,-82.8183846984059,-82.8459099692758
33.06,-82.9422366997268,-82.9692003802541
33.07,-83.0652499752944,-83.0916550758402
33.08,-83.1874301510612,-83.2132796542236
33.09,-83.3087827871827,-83.3340796496712
33.1,-83.4293133789825,-83.454060533628
33.11,-83.5490273580542,-83.5732277157499
33.12,-83.6679300934341,-83.6915865449688
33.13,-83.7860268925123,-83.8091423105096
33.14,-83.9033230019339,-83.925900242891
33.15,-84.0198236088759,-84.0418655149258
33.16,-84.1355338417506,-84.1570432426916
33.17,-84.2504587713851,-84.271438486507
33.18,-84.3646034117724,-84.3850562518534
33.19,-84.4779727212234,-84.4979014903236
33.2,-84.5905716030444,-84.6099791005423
33.21,-84.7024049066756,-84.7212939290469
33.22,-84.81347742838,-84.8318507712025
33.23,-84.9237939123683,-84.9416543720625
33.24,-85.0333590513991,-85.0507094272313
33.25,-85.1421774878236,-85.1590205837274
33.26,-85.2502538143771,-85.2665924408013
33.27,-85.3575925749693,-85.3734295507743
33.28,-85.4641982655757,-85.4795364198481
33.29,-85.5700753349907,-85.5849175088997
33.3,-85.6752281856728,-85.6895772342811
33.31,-85.7796611745114,-85.7935199685793
33.32,-85.883378613507,-85.8967500414098
33.33,-85.9863847707907,-85.999271740143
33.34,-86.0886838710492,-86.1010893106734
33.35,-86.1902800965972,-86.2022069581253
33.36,-86.2911775878535,-86.3026288476065
33.37,-86.3913804442321,-86.4023591049032
33.38,-86.490892724733,-86.5014018171823
33.39,-86.5897184488173,-86.5997610336949
33.4,-86.6878615968804,-86.6974407664499
33.41,-86.7853261112004,-86.7944449908858
33.42,-86.8821158963956,-86.8907776465438
33.43,-86.9782348201763,-86.9864426377138
33.44,-87.0736867140694,-87.0814438340801
33.45,-87.1684753739952,-87.175785071363
33.46,-87.2626045609429,-87.2694701519434
33.47,-87.3560780015157,-87.3625028454691
33.48,-87.4488993888087,-87.4548868894707
33.49,-87.5410723827701,-87.5466259899684
33.5,-87.6326006109049,-87.6377238220666
33.51,-87.7234876689042,-87.7281840305071
33.52,-87.8137371212043,-87.8180102302806
33.53,-87.9033525016605,-87.9072060071562
33.54,-87.9923373139455,-87.9957749182783
33.55,-88.0806950322909,-88.0837204926826
33.56,-88.1684291021183,-88.1710462318502
33.57,-88.2555429403307,-88.2577556102362
33.58,-88.3420399360874,-88.3438520758045
33.59,-88.4279234512043,-88.429339050531
33.6,-88.5131968208793,-88.5142199309221
33.61,-88.5978633539737,-88.5984980884974
33.62,-88.6819263337974,-88.6821768703147
33.63,-88.7653890184509,-88.7652595994336
33.64,-88.8482546412479,-88.8477495753835
33.65,-88.9305264114612,-88.9296500746623
33.66,-89.0122075145981,-89.0109643511709
33.67,-89.0933011132624,-89.0916956366772
33.68,-89.1738103469504,-89.1718471412756
33.69,-89.2537383332279,-89.2514220538143
33.7,-89.3330881677247,-89.3304235423138
33.71,-89.411862924829,-89.408854754425
33.72,-89.49006565804,-89.486718817813
33.73,-89.5676994005266,-89.5640188405963
33.74,-89.6447671653546,-89.6407579117257
33.75,-89.7212719461378,-89.7169391013794
33.76,-89.7972167173381,-89.7925654613895
33.77,-89.8726044347061,-89.8676400255494
33.78,-89.947438035692,-89.9421658100761
33.79,-90.0217204398664,-90.0161458139081
33.8,-90.0954545493366,-90.0895830190895
33.81,-90.1686432489417,-90.162480391126
33.82,-90.2412894070532,-90.234840879327
33.83,-90.3133958755187,-90.3066674171388
33.84,-90.3849654902075,-90.3779629224699
33.85,-90.4560010714969,-90.4487302980566
33.86,-90.5265054244013,-90.5189724317175
33.87,-90.5964813390003,-90.5886921967125
33.88,-90.6659315909304,-90.6578924520159
33.89,-90.7348589415241,-90.7265760426411
33.9,-90.8032661381325,-90.7947457999142
33.91,-90.8711559147242,-90.8624045417433
33.92,-90.9385309918607,-90.9295550729393
33.93,-91.0053940771737,-90.9962001854293
33.94,-91.0717478656513,-91.062342658573
33.95,-91.1375950400328,-91.127985259387
33.96,-91.2029382709029,-91.1931307427958
33.97,-91.267780217037,-91.2577818518995
33.98,-91.3321235257651,-91.3219413181848
33.99,-91.3959708332862,-91.3856118617666
34,-91.4593247645421,-91.4487961916059
34.01,,
34.02,,
34,,
