"Freq [GHz]","dB(S(2,1)) []"
28.57,-64.6289902155468
28.58,-64.1976936569304
28.59,-63.7634145255164
28.6,-63.3261012515275
28.61,-62.8857008122855
28.62,-62.4421586744377
28.63,-61.9954187332319
28.64,-61.5454232485735
28.65,-61.0921127777337
28.66,-60.6354261044223
28.67,-60.1753001640171
28.68,-59.7116699646971
28.69,-59.2444685041907
28.7,-58.7736266818185
28.71,-58.2990732055519
28.72,-57.8207344936885
28.73,-57.3385345707844
28.74,-56.8523949574305
28.75,-56.3622345534018
28.76,-55.8679695137139
28.77,-55.3695131170443
28.78,-54.8667756259263
28.79,-54.3596641381052
28.8,-53.8480824283434
28.81,-53.3319307799334
28.82,-52.811105805089
28.83,-52.2855002533129
28.84,-51.7550028067446
28.85,-51.2194978614097
28.86,-50.6788652931651
28.87,-50.1329802070428
28.88,-49.5817126685318
28.89,-49.024927415213
28.9,-48.4624835469925
28.91,-47.8942341929819
28.92,-47.3200261528967
28.93,-46.7396995105794
28.94,-46.1530872170354
28.95,-45.5600146400551
28.96,-44.9602990771944
28.97,-44.3537492285147
28.98,-43.7401646251079
28.99,-43.1193350089524
29,-42.4910396591896
29.01,-41.8550466593342
29.02,-41.2111120993332
29.03,-40.5589792057175
29.04,-39.898377392355
29.05,-39.2290212235088
29.06,-38.550609280071
29.07,-37.8628229189048
29.08,-37.1653249143382
29.09,-36.4577579699093
29.1,-35.7397430876289
29.11,-35.0108777813362
29.12,-34.2707341203491
29.13,-33.5188565897139
29.14,-32.754759754355
29.15,-31.9779257166665
29.16,-31.1878013613887
29.17,-30.3837953889786
29.18,-29.5652751507043
29.19,-28.7315633177158
29.2,-27.8819344459052
29.21,-27.0156115437442
29.22,-26.1317628194154
29.23,-25.2294988885328
29.24,-24.3078708827711
29.25,-23.3658701407045
29.26,-22.4024305275653
29.27,-21.4164349855575
29.28,-20.406728760215
29.29,-19.372143032458
29.3,-18.3115346383427
29.31,-17.2238505152012
29.32,-16.1082299504922
29.33,-14.9641642524733
29.34,-13.7917427903071
29.35,-12.5920268211684
29.36,-11.3676070499422
29.37,-10.1234121717798
29.38,-8.8678283566349
29.39,-7.61412815926176
29.4,-6.38202600617315
29.41,-5.1987961279484
29.42,-4.09882082530504
29.43,-3.12005187287663
29.44,-2.29658517262764
29.45,-1.64910996687011
29.46,-1.17799326534196
29.47,-0.863504467515496
29.48,-0.673028323927067
29.49,-0.570617222990916
29.5,-0.524231949122621
29.51,-0.509082181776558
29.52,-0.507948575775754
29.53,-0.509999264939589
29.54,-0.509200463482522
29.55,-0.502859055697859
29.56,-0.490467106091346
29.57,-0.472846932285012
29.58,-0.451539731969209
29.59,-0.428376426682064
29.6,-0.405181848422427
29.61,-0.383577757026246
29.62,-0.364861363587612
29.63,-0.349943185726385
29.64,-0.339331893189586
29.65,-0.333155485638421
29.66,-0.331208803754459
29.67,-0.333017864601513
29.68,-0.337912329323508
29.69,-0.34509871016329
29.7,-0.353728605620051
29.71,-0.362958087748792
29.72,-0.371996107460656
29.73,-0.380141244785544
29.74,-0.386807214513159
29.75,-0.391538232173917
29.76,-0.394015700496452
29.77,-0.394057772993745
29.78,-0.391613276324803
29.79,-0.386751304042136
29.8,-0.379647591405736
29.81,-0.370568585287492
29.82,-0.359853958902927
29.83,-0.347898198585542
29.84,-0.335131809328055
29.85,-0.322002640672076
29.86,-0.308957813762692
29.87,-0.296426720957795
29.88,-0.284805558115705
29.89,-0.274443824972905
29.9,-0.265633182313143
29.91,-0.258598981531814
29.92,-0.253494683084977
29.93,-0.250399260215112
29.94,-0.249317552156052
29.95,-0.250183398048792
29.96,-0.252865260960322
29.97,-0.257173951344491
29.98,-0.262871988859482
29.99,-0.2696841047186
30,-0.277308383712687
30.01,-0.285427572093649
30.02,-0.293720128345579
30.03,-0.301870660699769
30.04,-0.309579469994039
30.05,-0.316570991795689
30.06,-0.322601001705346
30.07,-0.327462508343283
30.08,-0.330990307456806
30.09,-0.333064207313392
30.1,-0.333610960853978
30.11,-0.332604955737875
30.12,-0.330067721784052
30.13,-0.326066319037343
30.14,-0.320710671395072
30.15,-0.314149912828181
30.16,-0.306567817738288
30.17,-0.298177395398937
30.18,-0.289214741589696
30.19,-0.279932258586486
30.2,-0.270591376995305
30.21,-0.261454938119706
30.22,-0.252779421542977
30.23,-0.244807226730425
30.24,-0.237759236733396
30.25,-0.231827903502922
30.26,-0.227171095242746
30.27,-0.223906934724861
30.28,-0.22210983269149
30.29,-0.22180788280463
30.3,-0.222981735861995
30.31,-0.225565014197529
30.32,-0.22944626626928
30.33,-0.234472400819375
30.34,-0.240453484011137
30.35,-0.247168735350415
30.36,-0.254373521691651
30.37,-0.261807124611483
30.38,-0.2692010449026
30.39,-0.276287607599586
30.4,-0.282808639455878
30.41,-0.288524005122571
30.42,-0.293219805124838
30.43,-0.296716054881741
30.44,-0.298873676706457
30.45,-0.299600643911592
30.46,-0.298857116718699
30.47,-0.296659403611573
30.48,-0.29308257026464
30.49,-0.288261503687953
30.5,-0.282390225535309
30.51,-0.275719240657297
30.52,-0.268550711059096
30.53,-0.261231268250104
30.54,-0.254142325405625
30.55,-0.247687830746593
30.56,-0.242279518873399
30.57,-0.238319867679977
30.58,-0.236183150212429
30.59,-0.23619517288173
30.6,-0.238612497412601
30.61,-0.243602132904424
30.62,-0.25122283381593
30.63,-0.261409229574739
30.64,-0.273960029535632
30.65,-0.288531493387599
30.66,-0.304637248057497
30.67,-0.321655400889784
30.68,-0.338843793649529
30.69,-0.355364221324901
30.7,-0.370316566285894
30.71,-0.38278413099899
30.72,-0.391892038248085
30.73,-0.396881430811422
30.74,-0.397203325012589
30.75,-0.392637257738327
30.76,-0.383441067265421
30.77,-0.370538738977216
30.78,-0.355752217066135
30.79,-0.342078655417612
30.8,-0.334003953765817
30.81,-0.337822878030183
30.82,-0.361902216418453
30.83,-0.41677697545901
30.84,-0.514922618224395
30.85,-0.670030758226269
30.86,-0.895682756744809
30.87,-1.20350692825124
30.88,-1.60118979549142
30.89,-2.09093984399736
30.9,-2.66896994402609
30.91,-3.32620571450948
30.92,-4.04993563513741
30.93,-4.82580757242769
30.94,-5.63959834623262
30.95,-6.47843505907469
30.96,-7.33142327764587
30.97,-8.18980703555879
30.98,-9.04683513809798
30.99,-9.89748423939183
31,-10.7381406328568
31.01,-11.5662978809428
31.02,-12.3802958294723
31.03,-13.1791078158272
31.04,-13.962173378525
31.05,-14.7292699035221
31.06,-15.4804157897453
31.07,-16.2157982716321
31.08,-16.9357201104784
31.09,-17.6405605170563
31.1,-18.3307467040232
31.11,-19.0067333258459
31.12,-19.6689877444933
31.13,-20.3179795833662
31.14,-20.954173428732
31.15,-21.578023834981
31.16,-22.1899720108665
31.17,-22.7904437274162
31.18,-23.3798481089806
31.19,-23.9585770580516
31.2,-24.5270051302705
31.21,-25.085489724603
31.22,-25.6343714895611
31.23,-26.1739748728662
31.24,-26.7046087615858
31.25,-27.2265671743053
31.26,-27.7401299776586
31.27,-28.2455636075048
31.28,-28.7431217809169
31.29,-29.2330461895219
31.3,-29.7155671678964
31.31,-30.1909043330907
31.32,-30.6592671930542
31.33,-31.1208557229657
31.34,-31.5758609093547
31.35,-32.0244652625155
31.36,-32.4668432981397
31.37,-32.9031619893693
31.38,-33.3335811906446
31.39,-33.7582540348202
31.4,-34.1773273050548
31.41,-34.5909417829838
31.42,-34.9992325746571
31.43,-35.4023294156702
31.44,-35.8003569568603
31.45,-36.1934350318735
31.46,-36.5816789078306
31.47,-36.9651995202516
31.48,-37.3441036933222
31.49,-37.7184943465182
31.5,-38.0884706885286
31.51,-38.4541283993613
31.52,-38.815559801443
31.53,-39.1728540204742
31.54,-39.5260971367436
31.55,-39.8753723275504
31.56,-40.220760001341
31.57,-40.5623379241189
31.58,-40.9001813386465
31.59,-41.2343630769173
31.6,-41.5649536663469
31.61,-41.8920214300919
31.62,-42.2156325818785
31.63,-42.5358513157007
31.64,-42.852739890709
31.65,-43.1663587116
31.66,-43.4767664047879
31.67,-43.7840198906229
31.68,-44.0881744518965
31.69,-44.3892837988678
31.7,-44.6874001310147
31.71,-44.9825741957119
31.72,-45.2748553440172
31.73,-45.5642915837362
31.74,-45.8509296299248
31.75,-46.1348149529802
31.76,-46.4159918244537
31.77,-46.69450336072
31.78,-46.9703915646226
31.79,-47.2436973652049
31.8,-47.514460655636
31.81,-47.782720329432
31.82,-48.0485143150587
31.83,-48.3118796090111
31.84,-48.5728523074422
31.85,-48.831467636427
31.86,-49.0877599809235
31.87,-49.3417629125074
31.88,-49.5935092159356
31.89,-49.8430309146047
31.9,-50.0903592949554
31.91,-50.3355249298789
31.92,-50.5785577011721
31.93,-50.819486821091
31.94,-51.0583408530457
31.95,-51.295147731474
31.96,-51.5299347809417
31.97,-51.7627287344994
31.98,-51.9935557513303
31.99,-52.2224414337294
32,-52.4494108434374
32.01,-52.6744885173612
32.02,-52.8976984827127
32.03,-53.1190642715865
32.04,-53.3386089350044
32.05,-53.5563550564533
32.06,-53.7723247649309
32.07,-53.9865397475293
32.08,-54.1990212615739
32.09,-54.4097901463321
32.1,-54.6188668343137
32.11,-54.8262713621875
32.12,-55.0320233813137
32.13,-55.2361421679244
32.14,-55.4386466329572
32.15,-55.6395553315598
32.16,-55.8388864722778
32.17,-56.0366579259392
32.18,-56.2328872342499
32.19,-56.4275916181025
32.2,-56.6207879856255
32.21,-56.8124929399695
32.22,-57.002722786844
32.23,-57.1914935418202
32.24,-57.3788209374018
32.25,-57.564720429874
32.26,-57.7492072059464
32.27,-57.9322961891853
32.28,-58.1140020462497
32.29,-58.2943391929468
32.3,-58.4733218000934
32.31,-58.6509637992127
32.32,-58.8272788880499
32.33,-59.0022805359404
32.34,-59.1759819890049
32.35,-59.3483962752069
32.36,-59.5195362092514
32.37,-59.689414397355
32.38,-59.8580432418692
32.39,-60.0254349457791
32.4,-60.1916015170744
32.41,-60.3565547729951
32.42,-60.5203063441604
32.43,-60.682867678586
32.44,-60.8442500455877
32.45,-61.0044645395776
32.46,-61.163522083763
32.47,-61.3214334337369
32.48,-61.4782091809809
32.49,-61.6338597562664
32.5,-61.7883954329759
32.51,-61.9418263303223
32.52,-62.0941624165017
32.53,-62.245413511746
32.54,-62.3955892913104
32.55,-62.5446992883785
32.56,-62.6927528968921
32.57,-62.8397593743071
32.58,-62.9857278442906
32.59,-63.1306672993358
32.6,-63.2745866033188
32.61,-63.4174944939967
32.62,-63.5593995854301
32.63,-63.7003103703584
32.64,-63.8402352225124
32.65,-63.9791823988719
32.66,-64.1171600418665
32.67,-64.2541761815244
32.68,-64.3902387375705
32.69,-64.5253555214739
32.7,-64.6595342384474
32.71,-64.7927824893992
32.72,-64.9251077728397
32.73,-65.0565174867426
32.74,-65.1870189303637
32.75,-65.3166193060191
32.76,-65.4453257208153
32.77,-65.5731451883578
32.78,-65.7000846303916
32.79,-65.8261508784382
32.8,-65.9513506753683
32.81,-66.0756906769548
32.82,-66.1991774533825
32.83,-66.3218174907352
32.84,-66.4436171924378
32.85,-66.5645828806735
32.86,-66.6847207977688
32.87,-66.8040371075494
32.88,-66.9225378966631
32.89,-67.04022917588
32.9,-67.1571168813578
32.91,-67.2732068758882
32.92,-67.3885049501107
32.93,-67.503016823702
32.94,-67.6167481465386
