"Freq [GHz]","im(S(2,1)) []","re(S(2,1)) []"
27.3,-1.72358058887125E-05,4.7109307025279E-06
27.32,-1.82918534826259E-05,4.70218475908647E-06
27.34,-1.94145661335658E-05,4.67635872119131E-06
27.36,-2.06083578855513E-05,4.63122615386136E-06
27.38,-2.18779507948021E-05,4.56432023624902E-06
27.4,-2.32283974918496E-05,4.47290850741251E-06
27.42,-2.46651054574753E-05,4.35396489972308E-06
27.44,-2.61938631441453E-05,4.20413875784229E-06
27.46,-2.78208680837066E-05,4.01972050242303E-06
27.48,-2.95527571337039E-05,3.79660356048177E-06
27.5,-3.13966390237157E-05,3.53024213672142E-06
27.52,-3.33601293757441E-05,3.21560435028102E-06
27.54,-3.54513883845759E-05,2.84712020456818E-06
27.56,-3.76791613543052E-05,2.41862379128232E-06
27.58,-4.00528223040803E-05,1.92328905932467E-06
27.6,-4.25824208644102E-05,1.35355839366161E-06
27.62,-4.52787327019336E-05,7.01063159148131E-07
27.64,-4.81533137234536E-05,-4.34647429052659E-08
27.66,-5.12185583205453E-05,-8.90291377744337E-07
27.68,-5.44877619335058E-05,-1.8507905441263E-06
27.7,-5.79751882190368E-05,-2.93756616721129E-06
27.72,-6.16961411228237E-05,-4.16458884941737E-06
27.74,-6.56670421610776E-05,-5.54734831199003E-06
27.76,-6.99055132248714E-05,-7.10302368290842E-06
27.78,-7.44304652209854E-05,-8.85067384322576E-06
27.8,-7.92621928619932E-05,-1.08114503355525E-05
27.82,-8.44224759080058E-05,-1.30088356691401E-05
27.84,-8.99346871477899E-05,-1.54689102368777E-05
27.86,-9.58239073765402E-05,-1.82206514915372E-05
27.88,-0.000102117047592237,-2.12962695217169E-05
27.9,-0.000108842978572826,-2.47315837380898E-05
27.92,-0.000116032667919758,-2.85664460262749E-05
27.94,-0.000123719324553514,-3.28452164678074E-05
27.96,-0.000131938550510687,-3.7617298585999E-05
27.98,-0.000140728499717738,-4.29377420539424E-05
28,-0.000150130043195662,-4.88679219322825E-05
28.02,-0.000160186939863034,-5.54763048065983E-05
28.04,-0.000170946011748461,-6.28393136920318E-05
28.06,-0.000182457321967427,-7.10423053082523E-05
28.08,-0.00019477435325449,-8.01806753270294E-05
28.1,-0.000207954184126256,-9.03611095125539E-05
28.12,-0.000222057658872557,-0.000101703001357299
28.14,-0.000237149546459847,-0.000114340059930906
28.16,-0.000253298682069503,-0.000128422135271459
28.18,-0.000270578083283839,-0.000144117292854238
28.2,-0.000289065030820998,-0.00016161417356716
28.22,-0.000308841101100592,-0.000181124681323822
28.24,-0.000329992134666917,-0.000202887047109067
28.26,-0.000352608120468751,-0.000227169326029562
28.28,-0.000376782970988622,-0.000254273393054495
28.3,-0.000402614157008761,-0.000284539513802219
28.32,-0.000430202163088798,-0.000318351579252692
28.34,-0.000459649715241356,-0.000356143107981167
28.36,-0.00049106072036544,-0.000398404136818291
28.38,-0.000524538842129725,-0.000445689141234918
28.4,-0.00056018561945423,-0.000498626150802052
28.42,-0.000598098010563733,-0.000557927253481475
28.44,-0.000638365216579647,-0.000624400716090005
28.46,-0.000681064602241358,-0.000698964988037774
28.48,-0.000726256485646761,-0.000782664902557784
28.5,-0.000773977511348602,-0.000876690445532833
28.52,-0.000824232248514298,-0.000982398528382945
28.54,-0.000876982563963342,-0.0011013382803092
28.56,-0.000932134203330241,-0.00123528046890898
28.58,-0.000989519865330083,-0.00138625176959956
28.6,-0.00104887786494223,-0.00155657473676611
28.62,-0.00110982523924374,-0.00174891448697892
28.64,-0.0011718238388055,-0.00196633329149646
28.66,-0.00123413754706481,-0.0022123544967085
28.68,-0.00129577825218859,-0.00249103745282155
28.7,-0.0013554375235678,-0.00280706543899408
28.72,-0.0014114000686355,-0.00316584893328135
28.74,-0.00146143389828914,-0.00357364699340449
28.76,-0.00150265062024904,-0.00403770999260719
28.78,-0.00153132728581368,-0.00456644749235099
28.8,-0.00154267856764409,-0.00516962562045692
28.82,-0.00153056451141807,-0.00585859893443084
28.84,-0.00148711435935053,-0.00664658233347682
28.86,-0.00140224053767714,-0.00754896904209114
28.88,-0.00126300819974481,-0.00858370084931481
28.9,-0.00105281382565274,-0.00977169634736784
28.92,-0.000750310023630503,-0.0111373413500278
28.94,-0.000327991032063018,-0.0127090420949028
28.96,0.000249678145419623,-0.0145198347298325
28.98,0.00102875033311373,-0.0166080313693049
29,0.00206912641906295,-0.0190178592590564
29.02,0.00344904000982187,-0.0218000076797397
29.04,0.0052711361347529,-0.0250119238870183
29.06,0.00767076527940344,-0.0287175713029986
29.08,0.0108273741192021,-0.0329861388514571
29.1,0.014980244629606,-0.0378887950042646
29.12,0.0204503521253258,-0.0434918772799348
29.14,0.0276708138087796,-0.0498436452345395
29.16,0.0372292703992048,-0.0569494308768977
29.18,0.0499264013305239,-0.0647258089888488
29.2,0.066854907441214,-0.0729166246032046
29.22,0.0895004743667151,-0.0809393428910895
29.24,0.119854030036536,-0.0876041831840804
29.26,0.160485426287384,-0.0906044089987875
29.28,0.214416974741171,-0.0856149524921596
29.3,0.284346336100267,-0.0648115094546645
29.32,0.370133042286164,-0.0149074064879631
29.34,0.462595724629516,0.0836739524784965
29.36,0.532861546031518,0.250515758548719
29.38,0.527406906930215,0.482093698532129
29.4,0.397162086115664,0.722580139832065
29.42,0.15517588986798,0.88519861268867
29.44,-0.124908664086977,0.926813179287509
29.46,-0.377772058952388,0.868271895308857
29.48,-0.57937075669139,0.750100284132147
29.5,-0.731053559649911,0.601273791469166
29.52,-0.840258667334029,0.436516484678092
29.54,-0.912488301202127,0.262638692292306
29.56,-0.950145147017862,0.0838333443431823
29.58,-0.953760278246639,-0.095503479900174
29.6,-0.923685779459608,-0.269805252167521
29.62,-0.861496250570171,-0.432588719804196
29.64,-0.770727339592978,-0.577404324424143
29.66,-0.656823266832077,-0.698955620603777
29.68,-0.52644241099672,-0.793918088525439
29.7,-0.386479697983814,-0.861199991326955
29.72,-0.243187997738336,-0.901667658590765
29.74,-0.101633884551612,-0.917551978838697
29.76,0.0344718901696696,-0.911790713846033
29.78,0.162662229108466,-0.887484453451383
29.8,0.281453674416216,-0.847537280317227
29.82,0.390049864766497,-0.794474369352989
29.84,0.488075730950782,-0.730392188650622
29.86,0.57537094021274,-0.656991545350404
29.88,0.651846523437577,-0.575653208114842
29.9,0.71739679256011,-0.48752878750186
29.92,0.771854993419498,-0.393630538571321
29.94,0.814981541103425,-0.294911326264607
29.96,0.846475525776605,-0.192330568689905
29.98,0.866002122230816,-0.0869044792996939
30,0.873230078614091,0.0202597661295879
30.02,0.867874530881359,0.127945585927252
30.04,0.8497411120587,0.23482340096755
30.06,0.818767873593103,0.339460533972772
30.08,0.775062063567887,0.440342738404721
30.1,0.71892941269827,0.535905026983865
30.12,0.650894297714842,0.624569110614529
30.14,0.571709956545532,0.704784585476801
30.16,0.482358750395252,0.77507106792747
30.18,0.384043213852512,0.834058779563617
30.2,0.278169219248568,0.880525589966571
30.22,0.166322943703559,0.913429159127344
30.24,0.0502434406467654,0.93193349379383
30.26,-0.0682075057078452,0.935429849860396
30.28,-0.18707687961683,0.923552398657967
30.3,-0.304352362986124,0.896189374579417
30.32,-0.417994254927959,0.853490508585468
30.34,-0.525967388458971,0.795871428405826
30.36,-0.626273380470233,0.724015400177837
30.38,-0.716983694056042,0.638872352706864
30.4,-0.796273896040238,0.541654646008393
30.42,-0.862459131460302,0.433828627891801
30.44,-0.914030226874021,0.317100794835178
30.46,-0.949689049738611,0.193397472950954
30.48,-0.968380937290592,0.0648374815629772
30.5,-0.969321385283099,-0.0663016957232138
30.52,-0.952014035099772,-0.197622152781255
30.54,-0.916257625542171,-0.326644238694299
30.56,-0.862141274717607,-0.450839752949834
30.58,-0.790030461461544,-0.56765220709899
30.6,-0.700550534295523,-0.674496204311647
30.62,-0.594580531886532,-0.768729397895688
30.64,-0.473277385887282,-0.847595121077796
30.66,-0.338158426564371,-0.908143724762347
30.68,-0.191276078304863,-0.947159068266563
30.7,-0.035516341724297,-0.961147135712219
30.72,0.124971571057507,-0.946487159435024
30.74,0.284275998393668,-0.899890047095737
30.76,0.434351293074703,-0.819311834617056
30.78,0.565155914528712,-0.705344620492119
30.8,0.665783656481383,-0.562763226272427
30.82,0.726818603690635,-0.401409603894415
30.84,0.743353808815331,-0.235375467481789
30.86,0.717188290531157,-0.0800960743718962
30.88,0.656689285678549,0.0515914871475775
30.9,0.574171380231651,0.152404257101982
30.92,0.482282947293398,0.221206837093893
30.94,0.391230734768045,0.261506367474337
30.96,0.307669053600698,0.279152106932976
30.98,0.234953443688447,0.280389611718183
31,0.174028584104773,0.270715728905774
31.02,0.12437346597453,0.254442762836666
31.04,0.0847363755940047,0.234696829647541
31.06,0.0536124544464155,0.213609496302886
31.08,0.0295130687698921,0.192555868937567
31.1,0.011095655886042,0.172370359523563
31.12,-0.00278913017423914,0.153517736146705
31.14,-0.0130943461520975,0.136219095855875
31.16,-0.0205943248392041,0.120540463517784
31.18,-0.0259098168846263,0.106453153335904
31.2,-0.0295340100823995,0.0938738918788573
31.22,-0.0318563548593238,0.0826909063098028
31.24,-0.0331830688518972,0.0727804952081543
31.26,-0.033754165993347,0.0640172522609732
31.28,-0.0337572947133298,0.0562801167428474
31.3,-0.0333388301703776,0.0494557185988705
31.32,-0.0326126885297581,0.0434399981746779
31.34,-0.0316672931181351,0.0381387490461575
