"Freq [GHz]","dB(S(2,1)) []"
34.68,-68.3711106571516
34.7,-68.3889794410438
34.72,-68.4059032574359
34.74,-68.4218861459885
34.76,-68.4369320887539
34.78,-68.4510450109628
34.8,-68.4642287818044
34.82,-68.4764872151988
34.84,-68.4878240705559
34.86,-68.4982430535263
34.88,-68.5077478167472
34.9,-68.516341960575
34.92,-68.5240290338152
34.94,-68.5308125344447
34.96,-68.5366959103264
34.98,-68.5416825599189
35,-68.5457758329812
35.02,-68.5489790312752
35.04,-68.5512954092571
35.06,-68.5527281747766
35.08,-68.5532804897609
35.1,-68.552955470908
35.12,-68.5517561903669
35.14,-68.5496856764278
35.16,-68.5467469142034
35.18,-68.5429428463159
35.2,-68.5382763735792
35.22,-68.5327503556887
35.24,-68.5263676119113
35.26,-68.5191309217714
35.28,-68.5110430257513
35.3,-68.5021066259901
35.32,-68.4923243869835
35.34,-68.4816989362983
35.36,-68.4702328652851
35.38,-68.4579287298018
35.4,-68.4447890509458
35.42,-68.4308163157911
35.44,-68.416012978138
35.46,-68.4003814592723
35.48,-68.3839241487363
35.5,-68.3666434051085
35.52,-68.3485415568016
35.54,-68.3296209028679
35.56,-68.3098837138287
35.58,-68.2893322325067
35.6,-68.267968674889
35.62,-68.2457952309959
35.64,-68.2228140657774
35.66,-68.1990273200264
35.68,-68.1744371113087
35.7,-68.1490455349261
35.72,-68.12285466489
35.74,-68.0958665549308
35.76,-68.0680832395254
35.78,-68.0395067349569
35.8,-68.0101390404006
35.82,-67.9799821390399
35.84,-67.9490379992154
35.86,-67.9173085756064
35.88,-67.8847958104422
35.9,-67.8515016347585
35.92,-67.8174279696825
35.94,-67.782576727762
35.96,-67.7469498143344
35.98,-67.7105491289387
36,-67.6733765667684
