"Freq [GHz]","dB(S(1,2)) []"
26.65,-115.256624584443
26.66,-115.048733581387
26.67,-114.840359562127
26.68,-114.631499590084
26.69,-114.422150701419
26.7,-114.212309905163
26.71,-114.001974181892
26.72,-113.791140485601
26.73,-113.579805740793
26.74,-113.367966843042
26.75,-113.155620659677
26.76,-112.942764027129
26.77,-112.729393753063
26.78,-112.515506614181
26.79,-112.301099355791
26.8,-112.086168693273
26.81,-111.870711309799
26.82,-111.654723855987
26.83,-111.438202950134
26.84,-111.221145178161
26.85,-111.00354709213
26.86,-110.785405209992
26.87,-110.566716015743
26.88,-110.347475958348
26.89,-110.127681451637
26.9,-109.907328873751
26.91,-109.686414565619
26.92,-109.464934832577
26.93,-109.242885941685
26.94,-109.020264122584
26.95,-108.797065566531
26.96,-108.573286425515
26.97,-108.348922811962
26.98,-108.12397079851
26.99,-107.898426416911
27,-107.672285657632
27.01,-107.445544469462
27.02,-107.218198758358
27.03,-106.990244387114
27.04,-106.76167717534
27.05,-106.532492897566
27.06,-106.302687283668
27.07,-106.072256017648
27.08,-105.841194737114
27.09,-105.609499032323
27.1,-105.377164445832
27.11,-105.144186471753
27.12,-104.910560554787
27.13,-104.676282089608
27.14,-104.441346419701
27.15,-104.205748837604
27.16,-103.969484582866
27.17,-103.732548841849
27.18,-103.494936747164
27.19,-103.256643376284
27.2,-103.017663750734
27.21,-102.777992835727
27.22,-102.537625538721
27.23,-102.296556708666
27.24,-102.054781135016
27.25,-101.812293547057
27.26,-101.569088612584
27.27,-101.325160936992
27.28,-101.080505062403
27.29,-100.83511546647
27.3,-100.588986561359
27.31,-100.342112692751
27.32,-100.094488138544
27.33,-99.8461071081309
27.34,-99.5969637405325
27.35,-99.3470521040597
27.36,-99.0963661944766
27.37,-98.8448999339897
27.38,-98.5926471701865
27.39,-98.3396016744403
27.4,-98.0857571406811
27.41,-97.8311071842732
27.42,-97.5756453403706
27.43,-97.3193650625924
27.44,-97.062259721729
27.45,-96.8043226041206
27.46,-96.5455469102627
27.47,-96.2859257531018
27.48,-96.0254521567986
27.49,-95.7641190548216
27.5,-95.501919288438
27.51,-95.2388456050682
27.52,-94.9748906563934
27.53,-94.7100469968943
27.54,-94.444307081878
27.55,-94.17766326553
27.56,-93.910107799328
27.57,-93.6416328298228
27.58,-93.3722303968725
27.59,-93.1018924315685
27.6,-92.8306107540293
27.61,-92.5583770715276
27.62,-92.2851829761339
27.63,-92.0110199425435
27.64,-91.7358793257771
27.65,-91.4597523589857
27.66,-91.1826301507939
27.67,-90.9045036830468
27.68,-90.6253638082342
27.69,-90.3452012469385
27.7,-90.0640065851253
27.71,-89.7817702714391
27.72,-89.498482614496
27.73,-89.2141337799026
27.74,-88.9287137874609
27.75,-88.6422125079711
27.76,-88.3546196603339
27.77,-88.0659248082453
27.78,-87.7761173569824
27.79,-87.4851865501051
27.8,-87.1931214658982
27.81,-86.8999110139027
27.82,-86.6055439313492
27.83,-86.3100087792967
27.84,-86.0132939388866
27.85,-85.7153876073954
27.86,-85.4162777941323
27.87,-85.1159523163228
27.88,-84.8143987947558
27.89,-84.5116046494531
27.9,-84.2075570950554
27.91,-83.902243136199
27.92,-83.5956495626657
27.93,-83.2877629444681
27.94,-82.978569626735
27.95,-82.6680557244275
27.96,-82.3562071170249
27.97,-82.0430094428151
27.98,-81.7284480932368
27.99,-81.4125082069724
28,-81.0951746637705
28.01,-80.7764320782067
28.02,-80.4562647931722
28.03,-80.1346568731713
28.04,-79.8115920974075
28.05,-79.487053952668
28.06,-79.1610256259377
28.07,-78.8334899968036
28.08,-78.5044296295825
28.09,-78.1738267652415
28.1,-77.8416633129901
28.11,-77.5079208416114
28.12,-77.1725805704987
28.13,-76.8356233604174
28.14,-76.497029703906
28.15,-76.1567797153724
28.16,-75.8148531208022
28.17,-75.4712292471789
28.18,-75.1258870114618
28.19,-74.7788049092218
28.2,-74.4299610028164
28.21,-74.0793329091658
28.22,-73.7268977870941
28.23,-73.3726323241787
28.24,-73.0165127231157
28.25,-72.6585146875768
28.26,-72.2986134075435
28.27,-71.9367835440467
28.28,-71.5729992133565
28.29,-71.2072339705531
28.3,-70.8394607924103
28.31,-70.4696520596739
28.32,-70.0977795385666
28.33,-69.723814361592
28.34,-69.3477270075411
28.35,-68.9694872806721
28.36,-68.5890642890654
28.37,-68.20642642202
28.38,-67.8215413265334
28.39,-67.4343758827843
28.4,-67.0448961785443
28.41,-66.6530674824734
28.42,-66.2588542162694
28.43,-65.8622199255739
28.44,-65.4631272495641
28.45,-65.0615378892001
28.46,-64.6574125739918
28.47,-64.2507110272601
28.48,-63.8413919297606
28.49,-63.4294128816136
28.5,-63.0147303624105
28.51,-62.5972996893991
28.52,-62.177074973653
28.53,-61.7540090740665
28.54,-61.3280535490836
28.55,-60.8991586059806
28.56,-60.4672730475945
28.57,-60.0323442162879
28.58,-59.5943179350193
28.59,-59.1531384453065
28.6,-58.7087483418841
28.61,-58.2610885038444
28.62,-57.8100980220173
28.63,-57.3557141223544
28.64,-56.8978720850142
28.65,-56.4365051588812
28.66,-55.9715444711804
28.67,-55.5029189318443
28.68,-55.030555132266
28.69,-54.5543772380106
28.7,-54.0743068750528
28.71,-53.5902630090651
28.72,-53.1021618172096
28.73,-52.6099165518822
28.74,-52.1134373957703
28.75,-51.612631307548
28.76,-51.1074018574594
28.77,-50.5976490519774
28.78,-50.0832691466429
28.79,-49.5641544460957
28.8,-49.0401930902373
28.81,-48.5112688253221
28.82,-47.9772607586974
28.83,-47.4380430957299
28.84,-46.8934848573738
28.85,-46.343449576598
28.86,-45.7877949717726
28.87,-45.2263725948682
28.88,-44.6590274521076
28.89,-44.0855975944615
28.9,-43.5059136750774
28.91,-42.919798470424
28.92,-42.3270663615832
28.93,-41.7275227717007
28.94,-41.120963555196
28.95,-40.5071743338071
28.96,-39.8859297740291
28.97,-39.2569927998764
28.98,-38.6201137342511
28.99,-37.9750293614728
29,-37.3214619027332
29.01,-36.6591178954163
29.02,-35.987686966347
29.03,-35.3068404881478
29.04,-34.6162301070255
29.05,-33.9154861295577
29.06,-33.2042157554777
29.07,-32.4820011432473
29.08,-31.7483972955795
29.09,-31.0029297533829
29.1,-30.2450920893454
29.11,-29.4743431973673
29.12,-28.6901043823861
29.13,-27.8917562685575
29.14,-27.0786355647552
29.15,-26.2500317587599
29.16,-25.4051838609254
29.17,-24.5432773931115
29.18,-23.6634419320782
29.19,-22.7647496877528
29.2,-21.8462158554641
29.21,-20.9068018722347
29.22,-19.9454232992239
29.23,-18.9609649495491
29.24,-17.9523072407126
29.25,-16.9183698088121
29.26,-15.8581815199177
29.27,-14.7709906273537
29.28,-13.6564355499618
29.29,-12.5148061752165
29.3,-11.3474378352992
29.31,-10.1572935142648
29.32,-8.94979796550411
29.33,-7.73397280714944
29.34,-6.52384612099404
29.35,-5.33990789379259
29.36,-4.20998601892375
29.37,-3.16838045943958
29.38,-2.2518476954118
29.39,-1.49197650132357
29.4,-0.906118796412155
29.41,-0.491593045916374
29.42,-0.226955252024073
29.43,-0.0794674719240454
29.44,-0.0141346729913264
29.45,-0.000216532588843232
29.46,-0.0140622957505989
29.47,-0.0392335218575455
29.48,-0.065321566153207
29.49,-0.0864424275469806
29.5,-0.0998785611803543
29.51,-0.105010348766415
29.52,-0.102529509771626
29.53,-0.0938784462130005
29.54,-0.080856425842503
29.55,-0.0653453552509804
29.56,-0.0491216408513458
29.57,-0.0337317853144652
29.58,-0.0204170318271893
29.59,-0.0100769834755041
29.6,-0.00326451057555973
29.61,-0.000205259187055492
29.62,-0.000835411022146027
29.63,-0.00485155046240258
29.64,-0.0117668869264166
29.65,-0.0209687798473098
29.66,-0.0317734858996578
29.67,-0.0434751720742066
29.68,-0.0553873660873053
29.69,-0.0668760208494791
29.7,-0.0773841715118661
29.71,-0.0864487313976196
29.72,-0.0937103174756658
29.73,-0.098917153759627
29.74,-0.101924120430053
29.75,-0.102687946118897
29.76,-0.10125942251346
29.77,-0.0977733863396035
29.78,-0.0924370858633727
29.79,-0.0855174403297392
29.8,-0.0773276170642827
29.81,-0.0682132927594973
29.82,-0.0585389294797639
29.83,-0.0486743764985187
29.84,-0.0389820993222875
29.85,-0.0298053299458005
29.86,-0.0214574208330402
29.87,-0.0142126638932586
29.88,-0.00829880122416329
29.89,-0.003891405271769
29.9,-0.00111024332663633
29.91,-1.76681667365353E-05
29.92,-0.000618998129138828
29.93,-0.00286477192764264
29.94,-0.00665469227963466
29.95,-0.0118430133326113
29.96,-0.018245084077473
29.97,-0.0256447356600162
29.98,-0.0338021950375077
29.99,-0.0424622192366951
30,-0.0513621705832233
30.01,-0.0602397898162738
30.02,-0.0688404667606576
30.03,-0.0769238531538085
30.04,-0.0842697058256425
30.05,-0.0906828880173554
30.06,-0.0959974904161568
30.07,-0.100080060575326
30.08,-0.102831949659056
30.09,-0.10419079939878
30.1,-0.104131200721335
30.11,-0.1026624559913
30.12,-0.0998353745828184
30.13,-0.0957310302509835
30.14,-0.0904627173336718
30.15,-0.0841729812540087
30.16,-0.077030059707348
30.17,-0.0692237819610574
30.18,-0.0609609823558271
30.19,-0.0524604956972107
30.2,-0.0439478163315187
30.21,-0.0356495185060839
30.22,-0.0277875519712258
30.23,-0.0205735422617475
30.24,-0.0142032380944217
30.25,-0.00885125719315738
30.26,-0.00466628509739446
30.27,-0.0017668779285272
30.28,-0.000238008974415229
30.29,-0.000128480212282543
30.3,-0.00144929412113701
30.31,-0.00417304960926218
30.32,-0.00823439045341899
30.33,-0.0135314975699406
30.34,-0.0199285801388966
30.35,-0.0272592874148563
30.36,-0.0353309349773643
30.37,-0.043929417657264
30.38,-0.0528246672111799
30.39,-0.0617765060854451
30.4,-0.0705407487258432
30.41,-0.0788754077081944
